RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.021,75.522,74
2,0,52955,Ludvig Åberg,0.982,44.195,45
3,0,28237,Rory McIlroy,0.907,52.595,58
4,0,35450,Patrick Cantlay,0.852,52.812,62
5,0,51414,Brent Grant,0.806,45.969,57
6,0,45242,Kevin Yu,0.803,38.542,48
7,0,39546,Keith Mitchell,0.743,55.008,74
8,0,46717,Viktor Hovland,0.741,51.903,70
9,0,27129,Luke List,0.641,53.236,83
10,0,55708,Hayden Buckley,0.611,39.708,65
11,0,39997,Corey Conners,0.586,43.956,75
12,0,57366,Cameron Young,0.581,38.898,67
13,0,39067,MJ Daffue,0.571,42.263,74
14,0,49453,Trevor Cone,0.550,34.670,63
15,0,34363,Tyrrell Hatton,0.533,35.166,66
15,0,31323,Gary Woodland,0.533,39.447,74
17,0,45157,Cam Davis,0.514,41.082,80
18,0,54421,Garrick Higgo,0.509,45.830,90
19,0,52372,Cameron Champ,0.490,28.887,59
20,0,58696,Peter Kuest,0.488,19.018,39
21,0,50525,Collin Morikawa,0.487,30.187,62
22,0,45609,Tyler Duncan,0.484,38.207,79
23,0,51070,Vincent Norrman,0.469,30.491,65
24,0,39971,Sungjae Im,0.467,39.669,85
25,0,37455,Si Woo Kim,0.462,39.719,86
26,0,58168,Davis Thompson,0.449,39.048,87
27,0,33948,Byeong Hun An,0.447,39.815,89
28,0,24502,Adam Scott,0.421,21.907,52
29,0,50188,S.H. Kim,0.412,39.946,97
30,0,33204,Shane Lowry,0.408,22.856,56
31,0,55893,Sam Stevens,0.400,33.211,83
32,0,56630,Akshay Bhatia,0.389,22.574,58
33,0,30911,Tommy Fleetwood,0.388,24.036,62
34,0,57362,Austin Eckroat,0.363,26.137,72
35,0,46970,Jon Rahm,0.360,21.626,60
36,0,56762,Will Gordon,0.358,31.830,89
37,0,28089,Jason Day,0.346,22.152,64
38,0,46414,Aaron Rai,0.343,29.826,87
39,0,36799,Stephan Jaeger,0.332,35.555,107
40,0,40250,Taylor Pendrith,0.320,25.578,80
41,0,39977,Max Homa,0.317,24.399,77
42,0,32448,James Hahn,0.315,21.728,69
43,0,39324,J.J. Spaun,0.293,24.338,83
44,0,29725,Tony Finau,0.288,21.032,73
45,0,25900,Lucas Glover,0.282,22.571,80
46,0,47504,Sam Burns,0.266,19.409,73
47,0,48081,Xander Schauffele,0.265,16.403,62
48,0,27644,Brian Harman,0.254,20.059,79
48,0,46340,Alex Smalley,0.254,23.616,93
50,0,52375,Doug Ghim,0.247,18.257,74
51,0,54628,Lee Hodges,0.245,21.809,89
52,0,48867,Matti Schmid,0.237,12.343,52
53,0,35461,Beau Hossler,0.230,20.224,88
54,0,34255,Joseph Bramlett,0.226,15.376,68
55,0,40098,Matt Fitzpatrick,0.211,13.286,63
56,0,23320,Ryan Palmer,0.210,13.623,65
57,0,31646,Emiliano Grillo,0.203,17.872,88
58,0,33141,Keegan Bradley,0.202,13.503,67
59,0,34046,Jordan Spieth,0.200,12.399,62
59,0,40115,Adam Svensson,0.200,20.573,103
61,0,36699,Patrick Rodgers,0.199,16.743,84
62,0,33448,Justin Thomas,0.198,13.296,67
63,0,34098,Russell Henley,0.197,14.412,73
64,0,48699,Callum Tarren,0.188,15.455,82
65,0,34076,Joel Dahmen,0.184,13.464,73
66,0,39058,Lucas Herbert,0.181,8.711,48
67,0,55454,Carl Yuan,0.171,11.813,69
68,0,22056,Cameron Percy,0.170,7.635,45
69,0,39954,Cody Gribble,0.160,8.011,50
70,0,52374,Brandon Wu,0.159,13.516,85
71,0,35310,Lanto Griffin,0.149,6.710,45
71,0,27554,Scott Harrington,0.149,8.471,57
73,0,31577,Tano Goya,0.145,9.422,65
74,0,51766,Wyndham Clark,0.139,11.954,86
75,0,55182,Tom Kim,0.128,9.746,76
76,0,37338,Zecheng Dou,0.127,9.688,76
77,0,32102,Rickie Fowler,0.126,10.206,81
78,0,36724,Augusto Núñez,0.111,6.448,58
79,0,52411,Kyle Westmoreland,0.093,5.422,58
80,0,47988,Nick Hardy,0.090,7.968,89
81,0,32839,Hideki Matsuyama,0.086,6.047,70
81,0,52513,Carson Young,0.086,6.421,75
83,0,51890,Greyson Sigg,0.064,5.681,89
84,0,40006,Erik van Rooyen,0.063,3.546,56
85,0,47347,Adam Schenk,0.056,5.495,98
86,0,53165,Doc Redman,0.052,3.473,67
86,0,50493,Justin Suh,0.052,5.002,97
88,0,33413,Ben Martin,0.048,3.813,80
89,0,32333,Kevin Tway,0.046,3.665,80
90,0,32791,K.H. Lee,0.035,2.873,82
90,0,47993,Denny McCarthy,0.035,3.042,88
92,0,30692,Scott Stallings,0.031,2.061,67
93,0,33653,Thomas Detry,0.029,1.947,67
94,0,23108,Matt Kuchar,0.027,2.120,79
95,0,49298,Kramer Hickok,0.024,1.879,78
96,0,50095,Austin Smotherman,0.016,1.330,81
97,0,30926,Chris Kirk,0.009,0.647,76
98,0,27214,Kevin Streelman,0.007,0.567,85
99,0,36871,Matt NeSmith,0.006,0.488,84
99,0,54783,Dylan Wu,0.006,0.462,79
101,0,51997,Andrew Novak,-0.010,-0.702,68
101,0,49960,Sepp Straka,-0.010,-0.758,77
103,0,33399,Adam Hadwin,-0.011,-0.903,81
104,0,47983,Chad Ramey,-0.015,-1.376,89
105,0,47995,Davis Riley,-0.017,-1.294,76
106,0,39975,Michael Kim,-0.019,-1.332,69
107,0,32640,Troy Merritt,-0.026,-1.829,70
108,0,51491,Brandon Matthews,-0.029,-1.236,42
109,0,24140,Sean O'Hair,-0.031,-0.957,31
110,0,28252,Seamus Power,-0.034,-2.199,65
111,0,12716,Charley Hoffman,-0.037,-2.152,58
111,0,34431,Robert Streb,-0.037,-2.285,62
113,0,31557,Jim Herman,-0.038,-2.383,62
114,0,49947,Taylor Moore,-0.041,-3.298,81
115,0,22405,Justin Rose,-0.044,-2.371,54
116,0,52453,Nicolai Hojgaard,-0.061,-2.061,34
117,0,54591,Ben Griffin,-0.066,-5.949,90
118,0,32662,Michael Gligic,-0.081,-4.218,52
118,0,49771,J.T. Poston,-0.081,-6.984,86
120,0,25818,Scott Piercy,-0.098,-6.889,70
121,0,28775,Nate Lashley,-0.105,-8.822,84
122,0,25686,Jason Dufner,-0.111,-7.675,69
122,0,46601,Trey Mullinax,-0.111,-7.414,67
124,0,26596,Ryan Moore,-0.112,-7.153,64
125,0,51349,Nico Echavarria,-0.113,-6.216,55
126,0,48117,Kurt Kitayama,-0.117,-6.446,55
127,0,29535,Brice Garnett,-0.118,-7.419,63
128,0,25493,Nick Taylor,-0.123,-9.261,75
129,0,32816,Satoshi Kodaira,-0.131,-5.614,43
130,0,39335,Kevin Roy,-0.132,-7.020,53
131,0,36326,David Lipsky,-0.133,-10.757,81
132,0,58967,Trevor Werbylo,-0.137,-7.941,58
132,0,47128,Richy Werenski,-0.137,-9.869,72
134,0,51634,Sahith Theegala,-0.139,-11.976,86
135,0,32139,Danny Willett,-0.147,-7.790,53
136,0,59018,Ryan Gerard,-0.148,-7.274,49
137,0,19803,Ryan Armour,-0.153,-10.271,67
138,0,32366,Kevin Chappell,-0.165,-5.951,36
139,0,34563,Chesson Hadley,-0.168,-13.113,78
140,0,47079,Harrison Endycott,-0.169,-11.485,68
141,0,36801,Mark Hubbard,-0.182,-16.184,89
141,0,35449,Adam Long,-0.182,-15.690,86
141,0,30163,Henrik Norlander,-0.182,-12.368,68
144,0,27936,Martin Laird,-0.194,-13.202,68
145,0,29908,C.T. Pan,-0.196,-7.660,39
146,0,35879,Kelly Kraft,-0.198,-14.438,73
147,0,24024,Zach Johnson,-0.199,-11.130,56
148,0,55789,Taylor Montgomery,-0.206,-17.475,85
149,0,33410,Andrew Landry,-0.208,-13.109,63
150,0,25632,Jimmy Walker,-0.216,-16.439,76
151,0,29221,Webb Simpson,-0.221,-11.690,53
152,0,29420,Billy Horschel,-0.224,-11.898,53
153,0,26476,Chez Reavie,-0.229,-19.470,85
154,0,40162,Justin Lower,-0.243,-19.476,80
155,0,35532,Tom Hoge,-0.253,-21.468,85
156,0,40058,Zac Blair,-0.264,-16.652,63
157,0,32757,Patton Kizzire,-0.266,-22.076,83
158,0,47591,Eric Cole,-0.268,-29.250,109
159,0,34099,Harris English,-0.288,-23.634,82
160,0,46441,Robby Shelton,-0.296,-24.576,83
161,0,24925,Jonathan Byrd,-0.299,-11.053,37
162,0,20229,Stewart Cink,-0.317,-20.899,66
163,0,35506,Mackenzie Hughes,-0.320,-22.733,71
164,0,30927,Brendon Todd,-0.348,-29.956,86
165,0,35901,Paul Haley II,-0.352,-24.299,69
165,0,31202,William McGirt,-0.352,-13.041,37
167,0,49766,Hank Lebioda,-0.359,-15.096,42
168,0,35617,Martin Trainer,-0.364,-13.816,38
169,0,28420,Ryan Brehm,-0.376,-25.217,67
170,0,27349,Alex Noren,-0.378,-27.561,73
171,0,45522,Christiaan Bezuidenhout,-0.380,-30.036,79
172,0,37275,Sam Ryder,-0.385,-33.882,88
173,0,57975,Harry Hall,-0.404,-29.894,74
174,0,34256,Andrew Putnam,-0.411,-36.978,90
175,0,27963,Chris Stroud,-0.412,-16.879,41
176,0,48887,Matt Wallace,-0.423,-28.330,67
177,0,33408,Tyson Alexander,-0.426,-29.822,70
178,0,51950,Max McGreevy,-0.439,-28.103,64
179,0,34610,Matthias Schwab,-0.443,-35.916,81
180,0,48084,Wesley Bryan,-0.446,-13.819,31
181,0,48119,Ben Taylor,-0.452,-38.425,85
182,0,33597,Harry Higgs,-0.487,-28.709,59
183,0,34409,David Lingmerth,-0.498,-29.365,59
184,0,33122,Russell Knox,-0.511,-42.901,84
185,0,46435,Austin Cook,-0.564,-31.590,56
186,0,34466,Peter Malnati,-0.571,-43.434,76
187,0,22371,Aaron Baddeley,-0.586,-34.569,59
188,0,46442,Maverick McNealy,-0.601,-29.456,49
189,0,27974,Sung Kang,-0.610,-18.922,31
190,0,29289,S.Y. Noh,-0.624,-28.683,46
191,0,29970,Dylan Frittelli,-0.695,-40.992,59
192,0,31560,Brian Stuard,-1.077,-53.855,50
193,0,27095,Nick Watney,-1.343,-73.874,55
