RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,46442,Maverick McNealy,0.956,46.822,49
2,0,55789,Taylor Montgomery,0.919,78.103,85
3,0,47993,Denny McCarthy,0.724,63.682,88
4,0,57975,Harry Hall,0.698,51.660,74
5,0,48081,Xander Schauffele,0.667,41.383,62
6,0,39977,Max Homa,0.612,47.109,77
7,0,34363,Tyrrell Hatton,0.597,39.413,66
8,0,47504,Sam Burns,0.584,42.609,73
9,0,58696,Peter Kuest,0.575,22.427,39
10,0,50493,Justin Suh,0.529,51.322,97
11,0,40098,Matt Fitzpatrick,0.525,33.066,63
12,0,34256,Andrew Putnam,0.513,46.204,90
13,0,47591,Eric Cole,0.505,55.055,109
14,0,30911,Tommy Fleetwood,0.493,30.574,62
14,0,37275,Sam Ryder,0.493,43.354,88
16,0,34099,Harris English,0.488,40.020,82
17,0,51634,Sahith Theegala,0.485,41.668,86
18,0,27349,Alex Noren,0.475,34.672,73
19,0,24502,Adam Scott,0.462,24.009,52
20,0,33141,Keegan Bradley,0.447,29.951,67
21,0,33399,Adam Hadwin,0.445,36.022,81
22,0,30927,Brendon Todd,0.441,37.936,86
23,0,34466,Peter Malnati,0.436,33.158,76
24,0,52453,Nicolai Hojgaard,0.415,14.113,34
25,0,49947,Taylor Moore,0.414,33.527,81
26,0,22405,Justin Rose,0.404,21.837,54
27,0,27644,Brian Harman,0.399,31.522,79
28,0,39058,Lucas Herbert,0.398,19.106,48
29,0,49771,J.T. Poston,0.395,33.958,86
30,0,34563,Chesson Hadley,0.389,30.353,78
31,0,22371,Aaron Baddeley,0.384,22.630,59
32,0,48119,Ben Taylor,0.381,32.380,85
33,0,51766,Wyndham Clark,0.370,31.843,86
34,0,35506,Mackenzie Hughes,0.367,26.088,71
35,0,40162,Justin Lower,0.354,28.339,80
36,0,47347,Adam Schenk,0.344,33.673,98
37,0,28089,Jason Day,0.336,21.522,64
37,0,46970,Jon Rahm,0.336,20.184,60
39,0,54591,Ben Griffin,0.334,30.031,90
40,0,54783,Dylan Wu,0.330,26.037,79
41,0,29420,Billy Horschel,0.326,17.256,53
42,0,52955,Ludvig Åberg,0.322,14.495,45
43,0,35449,Adam Long,0.320,27.531,86
44,0,47983,Chad Ramey,0.316,28.162,89
44,0,47128,Richy Werenski,0.316,22.785,72
46,0,35879,Kelly Kraft,0.308,22.519,73
47,0,35450,Patrick Cantlay,0.305,18.884,62
48,0,32102,Rickie Fowler,0.290,23.514,81
49,0,50188,S.H. Kim,0.278,26.992,97
50,0,33653,Thomas Detry,0.259,17.346,67
51,0,31202,William McGirt,0.255,9.417,37
52,0,25493,Nick Taylor,0.241,18.099,75
53,0,45522,Christiaan Bezuidenhout,0.239,18.856,79
54,0,46717,Viktor Hovland,0.236,16.527,70
54,0,31560,Brian Stuard,0.236,11.776,50
56,0,35461,Beau Hossler,0.224,19.713,88
56,0,29289,S.Y. Noh,0.224,10.314,46
58,0,33597,Harry Higgs,0.218,12.846,59
59,0,40115,Adam Svensson,0.217,22.347,103
60,0,49960,Sepp Straka,0.216,16.629,77
61,0,28420,Ryan Brehm,0.212,14.181,67
62,0,39971,Sungjae Im,0.207,17.606,85
63,0,28252,Seamus Power,0.202,13.135,65
64,0,54628,Lee Hodges,0.165,14.677,89
65,0,28237,Rory McIlroy,0.164,9.520,58
66,0,35532,Tom Hoge,0.162,13.749,85
67,0,36699,Patrick Rodgers,0.161,13.559,84
68,0,23108,Matt Kuchar,0.145,11.463,79
69,0,29535,Brice Garnett,0.136,8.594,63
70,0,30926,Chris Kirk,0.134,10.165,76
71,0,52513,Carson Young,0.124,9.310,75
72,0,51997,Andrew Novak,0.116,7.868,68
73,0,55182,Tom Kim,0.115,8.732,76
73,0,32139,Danny Willett,0.115,6.093,53
75,0,24024,Zach Johnson,0.109,6.092,56
76,0,57362,Austin Eckroat,0.103,7.424,72
77,0,54421,Garrick Higgo,0.101,9.094,90
78,0,39975,Michael Kim,0.094,6.507,69
79,0,34046,Jordan Spieth,0.086,5.302,62
80,0,33410,Andrew Landry,0.075,4.755,63
81,0,28775,Nate Lashley,0.074,6.245,84
82,0,48867,Matti Schmid,0.071,3.698,52
83,0,34409,David Lingmerth,0.060,3.553,59
84,0,31646,Emiliano Grillo,0.055,4.853,88
85,0,39546,Keith Mitchell,0.054,3.976,74
86,0,55708,Hayden Buckley,0.051,3.326,65
87,0,47988,Nick Hardy,0.048,4.236,89
87,0,27963,Chris Stroud,0.048,1.960,41
89,0,29970,Dylan Frittelli,0.041,2.413,59
