RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.314,171.199,193.486,-22.286,74
2,0,28237,Rory McIlroy,2.102,121.930,112.411,9.520,58
3,0,35450,Patrick Cantlay,1.869,115.862,96.979,18.884,62
3,0,48081,Xander Schauffele,1.869,115.870,74.490,41.383,62
5,0,30911,Tommy Fleetwood,1.699,105.308,74.738,30.574,62
6,0,46970,Jon Rahm,1.679,100.751,80.569,20.184,60
7,0,34363,Tyrrell Hatton,1.678,110.755,71.344,39.413,66
8,0,46717,Viktor Hovland,1.648,115.375,98.851,16.527,70
9,0,39977,Max Homa,1.638,126.105,78.996,47.109,77
10,0,52955,Ludvig Åberg,1.507,67.830,53.337,14.495,45
11,0,50525,Collin Morikawa,1.438,89.151,95.890,-6.736,62
12,0,32102,Rickie Fowler,1.426,115.492,91.981,23.514,81
13,0,51766,Wyndham Clark,1.201,103.278,71.439,31.843,86
14,0,22405,Justin Rose,1.193,64.428,42.594,21.837,54
15,0,29725,Tony Finau,1.124,82.016,91.737,-9.718,73
16,0,47591,Eric Cole,1.064,116.012,60.959,55.055,109
17,0,39971,Sungjae Im,1.049,89.164,71.560,17.606,85
18,0,47993,Denny McCarthy,1.004,88.327,24.649,63.682,88
19,0,55182,Tom Kim,0.949,72.125,63.396,8.732,76
20,0,24502,Adam Scott,0.927,48.209,24.201,24.009,52
21,0,40098,Matt Fitzpatrick,0.921,58.036,24.972,33.066,63
22,0,39997,Corey Conners,0.918,68.872,79.099,-10.226,75
23,0,32839,Hideki Matsuyama,0.902,63.106,71.409,-8.302,70
24,0,33141,Keegan Bradley,0.885,59.325,29.376,29.951,67
25,0,34098,Russell Henley,0.882,64.369,73.219,-8.849,73
26,0,28089,Jason Day,0.855,54.738,33.217,21.522,64
27,0,33448,Justin Thomas,0.836,56.039,66.859,-10.816,67
28,0,36799,Stephan Jaeger,0.834,89.268,98.880,-9.606,107
29,0,33204,Shane Lowry,0.822,46.059,52.463,-6.400,56
30,0,30926,Chris Kirk,0.819,62.221,52.060,10.165,76
31,0,47504,Sam Burns,0.796,58.115,15.510,42.609,73
32,0,51634,Sahith Theegala,0.788,67.801,26.136,41.668,86
33,0,58696,Peter Kuest,0.773,30.143,7.717,22.427,39
34,0,40115,Adam Svensson,0.758,78.036,55.695,22.347,103
35,0,45157,Cam Davis,0.738,59.048,69.225,-10.173,80
36,0,30927,Brendon Todd,0.735,63.240,25.306,37.936,86
37,0,52453,Nicolai Hojgaard,0.731,24.837,10.726,14.113,34
38,0,34046,Jordan Spieth,0.710,44.006,38.704,5.302,62
39,0,33399,Adam Hadwin,0.709,57.448,21.432,36.022,81
