RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,52955,Ludvig Åberg,27.78%,250,900,3
2,0,46970,Jon Rahm,26.13%,334,1278,14
3,0,58696,Peter Kuest,25.72%,213,828,2
4,0,35450,Patrick Cantlay,25.54%,331,1296,21
5,0,55789,Taylor Montgomery,25.33%,465,1836,186
6,0,46046,Scottie Scheffler,25.32%,401,1584,1
7,0,46717,Viktor Hovland,25.25%,400,1584,69
8,0,47591,Eric Cole,24.96%,566,2268,134
9,0,39977,Max Homa,24.81%,384,1548,106
10,0,24502,Adam Scott,24.59%,301,1224,138
11,0,45242,Kevin Yu,24.41%,312,1278,4
12,0,28237,Rory McIlroy,24.39%,281,1152,79
13,0,56630,Akshay Bhatia,24.34%,368,1512,11
14,0,57366,Cameron Young,24.29%,376,1548,45
15,0,48081,Xander Schauffele,24.28%,354,1458,60
16,0,55182,Tom Kim,24.14%,391,1620,29
17,0,50525,Collin Morikawa,24.01%,350,1458,7
18,0,52453,Nicolai Hojgaard,23.91%,198,828,46
19,0,37275,Sam Ryder,23.87%,477,1998,109
20,0,51634,Sahith Theegala,23.74%,453,1908,159
21,0,32102,Rickie Fowler,23.73%,410,1728,71
22,0,51766,Wyndham Clark,23.58%,433,1836,81
22,0,31577,Tano Goya,23.58%,382,1620,49
24,0,35532,Tom Hoge,23.50%,440,1872,93
24,0,39971,Sungjae Im,23.50%,440,1872,119
26,0,29725,Tony Finau,23.48%,355,1512,40
27,0,40006,Erik van Rooyen,23.43%,329,1404,62
28,0,33141,Keegan Bradley,23.37%,345,1476,99
29,0,50493,Justin Suh,23.34%,479,2052,125
30,0,56762,Will Gordon,23.27%,465,1998,8
31,0,34363,Tyrrell Hatton,23.22%,326,1404,124
32,0,51070,Vincent Norrman,23.20%,355,1530,44
33,0,34563,Chesson Hadley,23.17%,392,1692,37
34,0,57975,Harry Hall,23.15%,425,1836,122
35,0,22405,Justin Rose,23.12%,283,1224,136
36,0,36799,Stephan Jaeger,23.09%,507,2196,16
37,0,48867,Matti Schmid,23.07%,328,1422,55
38,0,54591,Ben Griffin,23.02%,493,2142,103
38,0,55454,Carl Yuan,23.02%,348,1512,95
40,0,25900,Lucas Glover,23.00%,414,1800,14
40,0,28775,Nate Lashley,23.00%,443,1926,22
42,0,52374,Brandon Wu,22.95%,475,2070,50
43,0,39067,MJ Daffue,22.92%,425,1854,100
43,0,33448,Justin Thomas,22.92%,297,1296,141
45,0,45157,Cam Davis,22.89%,375,1638,80
46,0,33948,Byeong Hun An,22.80%,431,1890,171
47,0,59018,Ryan Gerard,22.76%,254,1116,158
47,0,30927,Brendon Todd,22.76%,426,1872,129
49,0,35617,Martin Trainer,22.75%,258,1134,153
50,0,33653,Thomas Detry,22.73%,405,1782,151
51,0,49771,J.T. Poston,22.72%,409,1800,47
52,0,28089,Jason Day,22.64%,326,1440,110
52,0,23320,Ryan Palmer,22.64%,322,1422,76
52,0,25493,Nick Taylor,22.64%,379,1674,145
52,0,54783,Dylan Wu,22.64%,432,1908,18
56,0,25818,Scott Piercy,22.62%,403,1782,155
57,0,32757,Patton Kizzire,22.61%,407,1800,111
58,0,54421,Garrick Higgo,22.60%,419,1854,104
58,0,33413,Ben Martin,22.60%,419,1854,67
60,0,58168,Davis Thompson,22.57%,390,1728,34
61,0,27129,Luke List,22.56%,406,1800,10
62,0,39997,Corey Conners,22.55%,349,1548,19
62,0,51414,Brent Grant,22.55%,341,1512,61
64,0,40162,Justin Lower,22.53%,442,1962,115
65,0,40115,Adam Svensson,22.50%,494,2196,74
66,0,47988,Nick Hardy,22.41%,476,2124,40
67,0,32816,Satoshi Kodaira,22.40%,254,1134,39
68,0,30911,Tommy Fleetwood,22.37%,298,1332,166
69,0,48084,Wesley Bryan,22.34%,193,864,160
70,0,47995,Davis Riley,22.33%,410,1836,132
71,0,35461,Beau Hossler,22.32%,442,1980,105
72,0,34098,Russell Henley,22.29%,337,1512,29
73,0,50095,Austin Smotherman,22.28%,401,1800,121
74,0,37338,Zecheng Dou,22.22%,388,1746,87
75,0,27554,Scott Harrington,22.15%,319,1440,122
75,0,39335,Kevin Roy,22.15%,303,1368,59
77,0,47993,Denny McCarthy,22.11%,398,1800,102
78,0,39546,Keith Mitchell,22.10%,374,1692,83
79,0,47504,Sam Burns,22.09%,322,1458,178
80,0,34255,Joseph Bramlett,22.08%,318,1440,64
81,0,29289,S.Y. Noh,22.06%,270,1224,111
82,0,49960,Sepp Straka,22.04%,365,1656,66
83,0,47983,Chad Ramey,22.00%,400,1818,108
84,0,31646,Emiliano Grillo,21.98%,447,2034,73
84,0,27644,Brian Harman,21.98%,368,1674,85
86,0,33399,Adam Hadwin,21.97%,348,1584,86
87,0,28252,Seamus Power,21.95%,324,1476,149
88,0,46414,Aaron Rai,21.90%,414,1890,25
89,0,45609,Tyler Duncan,21.87%,370,1692,9
90,0,33597,Harry Higgs,21.83%,330,1512,163
91,0,50188,S.H. Kim,21.82%,436,1998,183
92,0,36801,Mark Hubbard,21.79%,455,2088,68
92,0,23108,Matt Kuchar,21.79%,357,1638,78
94,0,32839,Hideki Matsuyama,21.78%,341,1566,106
95,0,39058,Lucas Herbert,21.77%,243,1116,190
96,0,39324,J.J. Spaun,21.73%,399,1836,12
97,0,52372,Cameron Champ,21.72%,305,1404,36
98,0,26596,Ryan Moore,21.69%,324,1494,32
99,0,52375,Doug Ghim,21.68%,363,1674,6
100,0,49453,Trevor Cone,21.61%,319,1476,24
101,0,35506,Mackenzie Hughes,21.60%,346,1602,144
101,0,34046,Jordan Spieth,21.60%,280,1296,175
101,0,52513,Carson Young,21.60%,385,1782,27
104,0,39954,Cody Gribble,21.59%,272,1260,89
105,0,32791,K.H. Lee,21.50%,414,1926,54
106,0,24140,Sean O'Hair,21.47%,201,936,115
107,0,22371,Aaron Baddeley,21.46%,309,1440,140
108,0,37455,Si Woo Kim,21.44%,386,1800,135
108,0,48699,Callum Tarren,21.44%,382,1782,84
110,0,57362,Austin Eckroat,21.43%,378,1764,94
110,0,51890,Greyson Sigg,21.43%,405,1890,38
110,0,46340,Alex Smalley,21.43%,432,2016,35
113,0,27936,Martin Laird,21.40%,339,1584,25
113,0,34466,Peter Malnati,21.40%,366,1710,187
115,0,40098,Matt Fitzpatrick,21.39%,281,1314,156
116,0,30926,Chris Kirk,21.38%,354,1656,111
117,0,20229,Stewart Cink,21.32%,307,1440,131
117,0,47128,Richy Werenski,21.32%,380,1782,188
119,0,29908,C.T. Pan,21.29%,205,963,13
120,0,32640,Troy Merritt,21.20%,351,1656,150
121,0,40250,Taylor Pendrith,21.16%,377,1782,28
122,0,53165,Doc Redman,21.15%,297,1404,20
122,0,46441,Robby Shelton,21.15%,396,1872,148
124,0,36326,David Lipsky,21.14%,392,1854,90
124,0,35449,Adam Long,21.14%,430,2034,126
126,0,55893,Sam Stevens,21.12%,403,1908,92
127,0,40058,Zac Blair,21.08%,296,1404,119
128,0,36699,Patrick Rodgers,21.02%,386,1836,143
129,0,47079,Harrison Endycott,20.97%,336,1602,128
129,0,34256,Andrew Putnam,20.97%,419,1998,23
131,0,31323,Gary Woodland,20.95%,313,1494,74
132,0,32366,Kevin Chappell,20.93%,211,1008,72
132,0,29535,Brice Garnett,20.93%,324,1548,17
134,0,47347,Adam Schenk,20.92%,448,2142,82
135,0,49947,Taylor Moore,20.85%,379,1818,170
136,0,25686,Jason Dufner,20.82%,341,1638,52
137,0,35879,Kelly Kraft,20.80%,337,1620,101
138,0,27974,Sung Kang,20.75%,183,882,96
139,0,12716,Charley Hoffman,20.71%,302,1458,62
140,0,51997,Andrew Novak,20.70%,354,1710,98
141,0,46435,Austin Cook,20.65%,316,1530,154
141,0,27349,Alex Noren,20.65%,342,1656,130
143,0,36871,Matt NeSmith,20.59%,367,1782,31
144,0,55708,Hayden Buckley,20.57%,311,1512,50
145,0,46442,Maverick McNealy,20.55%,233,1134,185
146,0,52411,Kyle Westmoreland,20.53%,292,1422,118
147,0,39975,Michael Kim,20.45%,357,1746,70
148,0,31202,William McGirt,20.44%,195,954,137
149,0,48117,Kurt Kitayama,20.37%,264,1296,184
150,0,32448,James Hahn,20.28%,292,1440,64
151,0,29221,Webb Simpson,20.27%,208,1026,181
152,0,36724,Augusto Núñez,20.26%,310,1530,58
153,0,33408,Tyson Alexander,20.23%,346,1710,177
154,0,45522,Christiaan Bezuidenhout,20.22%,324,1602,157
155,0,48119,Ben Taylor,20.18%,385,1908,162
156,0,34076,Joel Dahmen,20.17%,334,1656,97
157,0,25632,Jimmy Walker,20.16%,312,1548,173
158,0,32333,Kevin Tway,20.13%,366,1818,76
159,0,48887,Matt Wallace,20.11%,304,1512,164
160,0,33204,Shane Lowry,20.07%,224,1116,127
161,0,34099,Harris English,20.05%,350,1746,165
161,0,29420,Billy Horschel,20.05%,231,1152,174
163,0,27963,Chris Stroud,19.98%,205,1026,48
164,0,33122,Russell Knox,19.88%,408,2052,5
165,0,19803,Ryan Armour,19.87%,329,1656,43
165,0,51491,Brandon Matthews,19.87%,211,1062,168
165,0,46601,Trey Mullinax,19.87%,254,1278,180
168,0,34431,Robert Streb,19.82%,289,1458,117
169,0,28420,Ryan Brehm,19.77%,306,1548,167
170,0,30163,Henrik Norlander,19.72%,323,1638,40
171,0,34409,David Lingmerth,19.70%,312,1584,192
172,0,35310,Lanto Griffin,19.69%,202,1026,56
173,0,26476,Chez Reavie,19.68%,340,1728,56
174,0,49298,Kramer Hickok,19.64%,343,1746,53
175,0,54628,Lee Hodges,19.63%,378,1926,147
176,0,51349,Nico Echavarria,19.59%,275,1404,141
177,0,30692,Scott Stallings,19.58%,296,1512,133
178,0,35901,Paul Haley II,19.50%,323,1656,161
179,0,24925,Jonathan Byrd,19.44%,210,1080,152
180,0,22056,Cameron Percy,19.40%,234,1206,33
181,0,27214,Kevin Streelman,19.39%,335,1728,114
182,0,31560,Brian Stuard,19.33%,254,1314,189
183,0,34610,Matthias Schwab,19.26%,357,1854,145
184,0,29970,Dylan Frittelli,19.16%,269,1404,193
185,0,51950,Max McGreevy,19.14%,317,1656,179
186,0,58967,Trevor Werbylo,19.01%,284,1494,172
187,0,33410,Andrew Landry,18.96%,273,1440,176
188,0,27095,Nick Watney,18.49%,253,1368,181
189,0,31557,Jim Herman,18.33%,254,1386,91
190,0,49766,Hank Lebioda,18.21%,200,1098,87
191,0,32139,Danny Willett,17.99%,217,1206,191
192,0,32662,Michael Gligic,17.96%,236,1314,169
193,0,24024,Zach Johnson,17.73%,217,1224,138
