RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,46046,Scottie Scheffler,10.73%,170,1584
2,0,27644,Brian Harman,11.89%,199,1674
3,0,52955,Ludvig Åberg,12.22%,110,900
4,0,58696,Peter Kuest,12.44%,103,828
5,0,23108,Matt Kuchar,12.45%,204,1638
6,0,26596,Ryan Moore,12.58%,188,1494
7,0,39324,J.J. Spaun,12.69%,233,1836
8,0,35450,Patrick Cantlay,12.81%,166,1296
8,0,34256,Andrew Putnam,12.81%,256,1998
10,0,34098,Russell Henley,12.96%,196,1512
11,0,22371,Aaron Baddeley,12.99%,187,1440
12,0,52375,Doug Ghim,13.02%,218,1674
13,0,30927,Brendon Todd,13.14%,246,1872
14,0,36799,Stephan Jaeger,13.16%,289,2196
15,0,39977,Max Homa,13.24%,205,1548
16,0,28089,Jason Day,13.40%,193,1440
17,0,55182,Tom Kim,13.52%,219,1620
18,0,51890,Greyson Sigg,13.54%,256,1890
19,0,47993,Denny McCarthy,13.56%,244,1800
20,0,47591,Eric Cole,13.71%,311,2268
21,0,28237,Rory McIlroy,13.72%,158,1152
21,0,48081,Xander Schauffele,13.72%,200,1458
23,0,30911,Tommy Fleetwood,13.74%,183,1332
24,0,33399,Adam Hadwin,13.76%,218,1584
25,0,40098,Matt Fitzpatrick,13.77%,181,1314
26,0,35461,Beau Hossler,13.84%,274,1980
27,0,22056,Cameron Percy,13.85%,167,1206
27,0,46970,Jon Rahm,13.85%,177,1278
29,0,34363,Tyrrell Hatton,13.89%,195,1404
29,0,46717,Viktor Hovland,13.89%,220,1584
29,0,46340,Alex Smalley,13.89%,280,2016
32,0,51766,Wyndham Clark,13.94%,256,1836
33,0,34563,Chesson Hadley,13.95%,236,1692
34,0,32839,Hideki Matsuyama,13.98%,219,1566
35,0,25900,Lucas Glover,14.00%,252,1800
36,0,30926,Chris Kirk,14.01%,232,1656
37,0,30163,Henrik Norlander,14.04%,230,1638
38,0,50525,Collin Morikawa,14.06%,205,1458
39,0,28775,Nate Lashley,14.07%,271,1926
40,0,51997,Andrew Novak,14.09%,241,1710
41,0,45522,Christiaan Bezuidenhout,14.23%,228,1602
41,0,33122,Russell Knox,14.23%,292,2052
43,0,27349,Alex Noren,14.25%,236,1656
44,0,49298,Kramer Hickok,14.26%,249,1746
44,0,54783,Dylan Wu,14.26%,272,1908
46,0,29535,Brice Garnett,14.28%,221,1548
47,0,56630,Akshay Bhatia,14.29%,216,1512
47,0,32102,Rickie Fowler,14.29%,247,1728
49,0,40115,Adam Svensson,14.30%,314,2196
50,0,39971,Sungjae Im,14.32%,268,1872
51,0,40250,Taylor Pendrith,14.37%,256,1782
52,0,36801,Mark Hubbard,14.42%,301,2088
52,0,27963,Chris Stroud,14.42%,148,1026
54,0,57362,Austin Eckroat,14.46%,255,1764
54,0,32816,Satoshi Kodaira,14.46%,164,1134
54,0,46442,Maverick McNealy,14.46%,164,1134
57,0,31202,William McGirt,14.47%,138,954
58,0,29725,Tony Finau,14.48%,219,1512
59,0,33948,Byeong Hun An,14.50%,274,1890
59,0,37455,Si Woo Kim,14.50%,261,1800
61,0,54591,Ben Griffin,14.52%,311,2142
62,0,24925,Jonathan Byrd,14.54%,157,1080
63,0,12716,Charley Hoffman,14.68%,214,1458
64,0,32791,K.H. Lee,14.69%,283,1926
65,0,33653,Thomas Detry,14.70%,262,1782
65,0,58168,Davis Thompson,14.70%,254,1728
67,0,46414,Aaron Rai,14.71%,278,1890
67,0,47347,Adam Schenk,14.71%,315,2142
69,0,29908,C.T. Pan,14.75%,142,963
70,0,37275,Sam Ryder,14.76%,295,1998
71,0,39975,Michael Kim,14.78%,258,1746
71,0,49771,J.T. Poston,14.78%,266,1800
73,0,39997,Corey Conners,14.79%,229,1548
74,0,46435,Austin Cook,14.84%,227,1530
75,0,34255,Joseph Bramlett,14.93%,215,1440
76,0,47504,Sam Burns,14.95%,218,1458
76,0,34099,Harris English,14.95%,261,1746
78,0,36699,Patrick Rodgers,14.98%,275,1836
79,0,52513,Carson Young,15.04%,268,1782
80,0,24140,Sean O'Hair,15.06%,141,936
81,0,27936,Martin Laird,15.09%,239,1584
82,0,31577,Tano Goya,15.12%,245,1620
83,0,45609,Tyler Duncan,15.13%,256,1692
84,0,45157,Cam Davis,15.14%,248,1638
85,0,35449,Adam Long,15.19%,309,2034
86,0,35506,Mackenzie Hughes,15.23%,244,1602
87,0,47988,Nick Hardy,15.25%,324,2124
