RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,28237,Rory McIlroy,326.3,41771,128
2,0,58696,Peter Kuest,321.7,29594,92
3,0,51491,Brandon Matthews,321.3,37915,118
4,0,52372,Cameron Champ,317.9,49589,156
5,0,52453,Nicolai Hojgaard,317.7,29227,92
6,0,52955,Ludvig Åberg,317.1,31712,100
7,0,57366,Cameron Young,315.7,54307,172
8,0,33948,Byeong Hun An,315.6,66275,210
9,0,51070,Vincent Norrman,314.2,53419,170
10,0,48867,Matti Schmid,314.1,49633,158
11,0,49453,Trevor Cone,314.0,51497,164
11,0,46970,Jon Rahm,314.0,44589,142
13,0,31323,Gary Woodland,313.8,52084,166
14,0,39546,Keith Mitchell,313.7,58974,188
15,0,51766,Wyndham Clark,313.5,63959,204
15,0,52411,Kyle Westmoreland,313.5,49528,158
17,0,24502,Adam Scott,313.0,42572,136
18,0,34255,Joseph Bramlett,312.4,49983,160
19,0,48699,Callum Tarren,312.0,61780,198
20,0,46601,Trey Mullinax,311.8,44281,142
21,0,47504,Sam Burns,311.4,50444,162
21,0,56762,Will Gordon,311.4,69140,222
23,0,27129,Luke List,311.3,62262,200
23,0,45242,Kevin Yu,311.3,44208,142
25,0,51414,Brent Grant,311.2,52279,168
26,0,45157,Cam Davis,311.0,56601,182
27,0,54421,Garrick Higgo,310.8,64029,206
28,0,55893,Sam Stevens,310.6,65850,212
29,0,39067,MJ Daffue,310.5,63970,206
30,0,40250,Taylor Pendrith,310.4,61457,198
31,0,46046,Scottie Scheffler,310.3,54608,176
31,0,58168,Davis Thompson,310.3,59584,192
33,0,36724,Augusto Núñez,310.0,52703,170
34,0,47988,Nick Hardy,309.2,72973,236
35,0,36699,Patrick Rodgers,308.8,62998,204
36,0,50188,S.H. Kim,308.7,68530,222
37,0,35450,Patrick Cantlay,308.6,44438,144
38,0,33448,Justin Thomas,308.5,44424,144
39,0,28420,Ryan Brehm,308.1,52990,172
39,0,32102,Rickie Fowler,308.1,59157,192
39,0,27554,Scott Harrington,308.1,49297,160
39,0,32333,Kevin Tway,308.1,62239,202
43,0,33653,Thomas Detry,307.7,60934,198
44,0,46717,Viktor Hovland,307.6,54130,176
45,0,25632,Jimmy Walker,307.2,52840,172
46,0,49947,Taylor Moore,307.1,62034,202
47,0,55454,Carl Yuan,306.8,51538,168
48,0,34363,Tyrrell Hatton,306.5,47812,156
49,0,48117,Kurt Kitayama,306.2,44096,144
50,0,12716,Charley Hoffman,306.1,49588,162
50,0,36799,Stephan Jaeger,306.1,74689,244
52,0,47995,Davis Riley,305.9,62405,204
53,0,58967,Trevor Werbylo,305.7,50754,166
54,0,33141,Keegan Bradley,305.6,50113,164
54,0,47347,Adam Schenk,305.6,72738,238
56,0,20229,Stewart Cink,305.5,48884,160
57,0,35461,Beau Hossler,305.3,67163,220
58,0,39975,Michael Kim,305.0,59165,194
59,0,56630,Akshay Bhatia,304.9,51218,168
59,0,51634,Sahith Theegala,304.9,64646,212
59,0,40006,Erik van Rooyen,304.9,47572,156
62,0,39977,Max Homa,304.8,52419,172
63,0,32662,Michael Gligic,304.6,44466,146
64,0,39058,Lucas Herbert,304.5,37761,124
65,0,55708,Hayden Buckley,304.4,51143,168
66,0,28089,Jason Day,304.2,48679,160
66,0,29725,Tony Finau,304.2,51107,168
68,0,40098,Matt Fitzpatrick,304.1,44394,146
68,0,48081,Xander Schauffele,304.1,49263,162
68,0,48119,Ben Taylor,304.1,64466,212
71,0,33204,Shane Lowry,303.8,37669,124
71,0,55789,Taylor Montgomery,303.8,61965,204
73,0,29289,S.Y. Noh,303.7,41303,136
74,0,34046,Jordan Spieth,303.6,43715,144
75,0,39335,Kevin Roy,303.4,46115,152
76,0,29970,Dylan Frittelli,303.2,47300,156
77,0,31577,Tano Goya,303.1,54561,180
78,0,46340,Alex Smalley,303.0,67877,224
79,0,48887,Matt Wallace,302.7,50858,168
80,0,37338,Zecheng Dou,302.6,58713,194
81,0,30911,Tommy Fleetwood,302.3,44738,148
81,0,35310,Lanto Griffin,302.3,34457,114
83,0,35617,Martin Trainer,302.2,38081,126
84,0,32366,Kevin Chappell,302.0,33826,112
85,0,33597,Harry Higgs,301.6,50663,168
86,0,31646,Emiliano Grillo,301.3,68105,226
87,0,23320,Ryan Palmer,301.2,47590,158
88,0,57362,Austin Eckroat,301.1,59016,196
88,0,30692,Scott Stallings,301.1,50590,168
90,0,32757,Patton Kizzire,300.8,60166,200
91,0,32791,K.H. Lee,300.7,64345,214
92,0,39997,Corey Conners,300.6,51697,172
93,0,47128,Richy Werenski,300.5,59492,198
94,0,50095,Austin Smotherman,300.4,60077,200
95,0,54628,Lee Hodges,300.3,64262,214
96,0,27349,Alex Noren,300.2,55242,184
97,0,54591,Ben Griffin,300.1,71421,238
98,0,28252,Seamus Power,300.0,49202,164
99,0,39954,Cody Gribble,299.9,41987,140
99,0,46442,Maverick McNealy,299.9,37784,126
101,0,57975,Harry Hall,299.8,61167,204
102,0,51997,Andrew Novak,299.7,56937,190
103,0,48084,Wesley Bryan,299.6,28761,96
103,0,29221,Webb Simpson,299.6,34151,114
105,0,33408,Tyson Alexander,299.5,56905,190
105,0,35506,Mackenzie Hughes,299.5,53317,178
105,0,49960,Sepp Straka,299.5,55108,184
108,0,51349,Nico Echavarria,299.4,46712,156
108,0,50493,Justin Suh,299.4,68257,228
110,0,34563,Chesson Hadley,299.3,56276,188
110,0,39971,Sungjae Im,299.3,62251,208
112,0,25686,Jason Dufner,299.1,54431,182
113,0,47591,Eric Cole,299.0,75341,252
114,0,32448,James Hahn,298.9,47817,160
115,0,45609,Tyler Duncan,298.8,56170,188
115,0,39324,J.J. Spaun,298.8,60952,204
117,0,29420,Billy Horschel,298.5,38210,128
118,0,54783,Dylan Wu,298.2,63226,212
119,0,59018,Ryan Gerard,297.7,36918,124
119,0,52375,Doug Ghim,297.7,55375,186
121,0,55182,Tom Kim,297.6,53568,180
121,0,49766,Hank Lebioda,297.6,36306,122
121,0,34431,Robert Streb,297.6,48217,162
124,0,28775,Nate Lashley,297.4,63638,214
125,0,34099,Harris English,297.3,57679,194
125,0,27214,Kevin Streelman,297.3,57073,192
127,0,32839,Hideki Matsuyama,297.2,51715,174
128,0,36871,Matt NeSmith,297.1,58824,198
129,0,49771,J.T. Poston,297.0,59400,200
130,0,37455,Si Woo Kim,296.9,59378,200
131,0,49298,Kramer Hickok,296.7,57554,194
132,0,29908,C.T. Pan,296.6,31443,106
133,0,30926,Chris Kirk,296.4,54540,184
134,0,50525,Collin Morikawa,296.2,47984,162
134,0,40115,Adam Svensson,296.2,72270,244
136,0,34076,Joel Dahmen,296.1,54486,184
137,0,35532,Tom Hoge,295.9,61537,208
