RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,52955,Ludvig Åberg,4.44,711,160
1,0,35450,Patrick Cantlay,4.44,977,220
3,0,46970,Jon Rahm,4.46,1000,224
3,0,46046,Scottie Scheffler,4.46,1177,264
5,0,39971,Sungjae Im,4.47,1403,314
6,0,58168,Davis Thompson,4.48,1425,318
7,0,50525,Collin Morikawa,4.50,1106,246
8,0,51766,Wyndham Clark,4.51,1460,324
8,0,45157,Cam Davis,4.51,1217,270
8,0,23108,Matt Kuchar,4.51,1254,278
8,0,51070,Vincent Norrman,4.51,1246,276
12,0,29725,Tony Finau,4.52,1174,260
12,0,34046,Jordan Spieth,4.52,1013,224
14,0,55182,Tom Kim,4.53,1240,274
14,0,58696,Peter Kuest,4.53,670,148
16,0,40098,Matt Fitzpatrick,4.54,1017,224
16,0,54421,Garrick Higgo,4.54,1577,347
16,0,36799,Stephan Jaeger,4.54,1734,382
16,0,28775,Nate Lashley,4.54,1599,352
16,0,48081,Xander Schauffele,4.54,1125,248
16,0,33448,Justin Thomas,4.54,1063,234
16,0,57366,Cameron Young,4.54,1218,268
23,0,56630,Akshay Bhatia,4.55,1247,274
23,0,32102,Rickie Fowler,4.55,1355,298
23,0,52375,Doug Ghim,4.55,1412,310
23,0,57975,Harry Hall,4.55,1501,330
23,0,32791,K.H. Lee,4.55,1528,336
23,0,28237,Rory McIlroy,4.55,838,184
23,0,29221,Webb Simpson,4.55,791,174
30,0,47591,Eric Cole,4.56,1762,386
30,0,30911,Tommy Fleetwood,4.56,993,218
30,0,59018,Ryan Gerard,4.56,958,210
30,0,27644,Brian Harman,4.56,1240,272
30,0,52453,Nicolai Hojgaard,4.56,675,148
30,0,46717,Viktor Hovland,4.56,1203,264
30,0,32757,Patton Kizzire,4.56,1486,326
30,0,55789,Taylor Montgomery,4.56,1497,328
30,0,40250,Taylor Pendrith,4.56,1514,332
30,0,54783,Dylan Wu,4.56,1604,352
30,0,45242,Kevin Yu,4.56,1031,226
41,0,39977,Max Homa,4.57,1226,268
41,0,35506,Mackenzie Hughes,4.57,1315,288
41,0,49771,J.T. Poston,4.57,1334,292
41,0,34256,Andrew Putnam,4.57,1573,344
41,0,22405,Justin Rose,4.57,969,212
41,0,40115,Adam Svensson,4.57,1711,374
41,0,40006,Erik van Rooyen,4.57,1212,265
48,0,40058,Zac Blair,4.58,1127,246
48,0,33141,Keegan Bradley,4.58,1163,254
48,0,39067,MJ Daffue,4.58,1585,346
48,0,56762,Will Gordon,4.58,1648,360
48,0,31577,Tano Goya,4.58,1420,310
48,0,51414,Brent Grant,4.58,1291,282
48,0,27554,Scott Harrington,4.58,1273,278
48,0,34098,Russell Henley,4.58,1109,242
48,0,35449,Adam Long,4.58,1721,376
48,0,23320,Ryan Palmer,4.58,1155,252
48,0,46414,Aaron Rai,4.58,1492,326
48,0,39335,Kevin Roy,4.58,1181,258
48,0,25493,Nick Taylor,4.58,1309,286
48,0,32333,Kevin Tway,4.58,1501,328
62,0,34255,Joseph Bramlett,4.59,1220,266
