RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,27644,Brian Harman,67.34%,365,542
2,0,23108,Matt Kuchar,66.16%,348,526
3,0,39324,J.J. Spaun,65.99%,357,541
4,0,24925,Jonathan Byrd,65.69%,247,376
5,0,30911,Tommy Fleetwood,65.47%,309,472
6,0,32816,Satoshi Kodaira,65.43%,229,350
7,0,30927,Brendon Todd,65.40%,414,633
8,0,22371,Aaron Baddeley,65.11%,321,493
9,0,47993,Denny McCarthy,65.04%,387,595
10,0,46046,Scottie Scheffler,64.94%,263,405
11,0,46435,Austin Cook,64.92%,346,533
12,0,33948,Byeong Hun An,64.90%,440,678
13,0,40098,Matt Fitzpatrick,64.63%,296,458
14,0,46442,Maverick McNealy,64.59%,270,418
15,0,39977,Max Homa,64.52%,331,513
16,0,34256,Andrew Putnam,64.46%,390,605
17,0,50188,S.H. Kim,64.07%,469,732
18,0,34098,Russell Henley,63.99%,295,461
19,0,34363,Tyrrell Hatton,63.98%,302,472
20,0,34099,Harris English,63.92%,395,618
21,0,26596,Ryan Moore,63.89%,292,457
22,0,28089,Jason Day,63.88%,306,479
23,0,32839,Hideki Matsuyama,63.78%,331,519
24,0,49298,Kramer Hickok,63.69%,349,548
25,0,24140,Sean O'Hair,63.58%,199,313
26,0,52375,Doug Ghim,63.52%,303,477
26,0,37455,Si Woo Kim,63.52%,390,614
28,0,47591,Eric Cole,63.39%,490,773
29,0,35450,Patrick Cantlay,63.27%,248,392
30,0,51997,Andrew Novak,63.23%,356,563
31,0,31202,William McGirt,63.19%,206,326
32,0,45522,Christiaan Bezuidenhout,63.15%,353,559
33,0,22056,Cameron Percy,63.14%,233,369
34,0,48081,Xander Schauffele,63.04%,290,460
35,0,34046,Jordan Spieth,62.88%,293,466
36,0,30163,Henrik Norlander,62.85%,318,506
37,0,33653,Thomas Detry,62.74%,389,620
38,0,25900,Lucas Glover,62.71%,333,531
39,0,27349,Alex Noren,62.68%,351,560
40,0,39971,Sungjae Im,62.58%,393,628
41,0,30926,Chris Kirk,62.50%,345,552
41,0,40115,Adam Svensson,62.50%,440,704
43,0,32139,Danny Willett,62.39%,292,468
44,0,35461,Beau Hossler,62.35%,409,656
44,0,36799,Stephan Jaeger,62.35%,404,648
46,0,27963,Chris Stroud,62.31%,200,321
47,0,57362,Austin Eckroat,62.15%,358,576
48,0,46717,Viktor Hovland,62.10%,313,504
49,0,54591,Ben Griffin,62.06%,440,709
50,0,48084,Wesley Bryan,62.05%,188,303
51,0,51766,Wyndham Clark,61.99%,367,592
51,0,33399,Adam Hadwin,61.99%,318,513
53,0,36699,Patrick Rodgers,61.97%,391,631
54,0,22405,Justin Rose,61.96%,259,418
55,0,47504,Sam Burns,61.89%,328,530
56,0,25818,Scott Piercy,61.84%,384,621
57,0,46340,Alex Smalley,61.81%,382,618
58,0,51890,Greyson Sigg,61.79%,359,581
59,0,58696,Peter Kuest,61.75%,134,217
60,0,49947,Taylor Moore,61.66%,402,652
61,0,47347,Adam Schenk,61.65%,426,691
62,0,55182,Tom Kim,61.54%,304,494
62,0,46970,Jon Rahm,61.54%,232,377
64,0,32102,Rickie Fowler,61.52%,339,551
65,0,45157,Cam Davis,61.36%,324,528
66,0,28237,Rory McIlroy,61.35%,227,370
67,0,31577,Tano Goya,61.34%,311,507
67,0,35506,Mackenzie Hughes,61.34%,338,551
69,0,29725,Tony Finau,61.24%,286,467
70,0,36724,Augusto Núñez,61.00%,294,482
71,0,36801,Mark Hubbard,60.99%,405,664
72,0,32640,Troy Merritt,60.87%,350,575
73,0,54628,Lee Hodges,60.84%,404,664
74,0,52955,Ludvig Åberg,60.83%,146,240
75,0,47079,Harrison Endycott,60.81%,329,541
76,0,55789,Taylor Montgomery,60.74%,413,680
77,0,39954,Cody Gribble,60.64%,248,409
78,0,39975,Michael Kim,60.61%,337,556
79,0,35449,Adam Long,60.58%,415,685
80,0,46441,Robby Shelton,60.53%,391,646
81,0,25493,Nick Taylor,60.42%,348,576
82,0,37275,Sam Ryder,60.39%,401,664
83,0,35310,Lanto Griffin,60.37%,195,323
84,0,31560,Brian Stuard,60.32%,298,494
85,0,46414,Aaron Rai,60.28%,346,574
86,0,34563,Chesson Hadley,60.19%,313,520
86,0,30692,Scott Stallings,60.19%,310,515
88,0,40162,Justin Lower,60.06%,394,656
88,0,34466,Peter Malnati,60.06%,382,636
90,0,48887,Matt Wallace,60.00%,321,535
91,0,12716,Charley Hoffman,59.87%,276,461
92,0,32333,Kevin Tway,59.86%,349,583
93,0,34431,Robert Streb,59.84%,292,488
94,0,39058,Lucas Herbert,59.81%,253,423
94,0,50525,Collin Morikawa,59.81%,253,423
96,0,25632,Jimmy Walker,59.71%,332,556
97,0,24024,Zach Johnson,59.67%,250,419
98,0,34255,Joseph Bramlett,59.65%,272,456
98,0,33410,Andrew Landry,59.65%,309,518
98,0,54783,Dylan Wu,59.65%,337,565
101,0,57975,Harry Hall,59.64%,368,617
102,0,47983,Chad Ramey,59.54%,359,603
103,0,29908,C.T. Pan,59.51%,169,284
104,0,32791,K.H. Lee,59.50%,360,605
105,0,32757,Patton Kizzire,59.17%,355,600
106,0,34409,David Lingmerth,59.16%,365,617
107,0,29535,Brice Garnett,59.08%,270,457
108,0,51634,Sahith Theegala,59.04%,395,669
109,0,48117,Kurt Kitayama,59.03%,281,476
110,0,56630,Akshay Bhatia,59.01%,262,444
111,0,34610,Matthias Schwab,58.93%,376,638
111,0,27214,Kevin Streelman,58.93%,340,577
113,0,33413,Ben Martin,58.91%,347,589
114,0,35879,Kelly Kraft,58.88%,315,535
115,0,33448,Justin Thomas,58.78%,261,444
116,0,49766,Hank Lebioda,58.71%,209,356
117,0,49771,J.T. Poston,58.65%,329,561
118,0,27936,Martin Laird,58.63%,282,481
119,0,40058,Zac Blair,58.60%,276,471
119,0,58168,Davis Thompson,58.60%,310,529
121,0,20229,Stewart Cink,58.49%,286,489
121,0,28775,Nate Lashley,58.49%,341,583
123,0,54421,Garrick Higgo,58.47%,359,614
124,0,39546,Keith Mitchell,58.42%,319,546
125,0,31646,Emiliano Grillo,58.37%,380,651
126,0,34076,Joel Dahmen,58.17%,317,545
127,0,50095,Austin Smotherman,58.11%,351,604
128,0,35532,Tom Hoge,58.10%,355,611
129,0,26476,Chez Reavie,58.09%,316,544
130,0,32366,Kevin Chappell,58.07%,187,322
131,0,28252,Seamus Power,58.04%,296,510
132,0,40250,Taylor Pendrith,58.01%,315,543
133,0,51349,Nico Echavarria,58.00%,279,481
133,0,33122,Russell Knox,58.00%,337,581
133,0,39335,Kevin Roy,58.00%,250,431
136,0,35617,Martin Trainer,57.72%,228,395
137,0,39067,MJ Daffue,57.68%,353,612
138,0,55893,Sam Stevens,57.65%,358,621
138,0,58967,Trevor Werbylo,57.65%,309,536
140,0,35901,Paul Haley II,57.63%,336,583
140,0,52374,Brandon Wu,57.63%,374,649
