RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.496,154.741,148.864,5.878,62
2,0,48081,Xander Schauffele,1.941,133.935,98.725,35.209,69
3,0,28237,Rory McIlroy,1.412,87.535,76.789,10.748,62
4,0,32839,Hideki Matsuyama,1.268,81.176,88.717,-7.541,64
5,0,50525,Collin Morikawa,1.203,83.022,74.681,8.341,69
6,0,46414,Aaron Rai,1.185,88.874,84.793,4.082,75
7,0,52955,Ludvig Åberg,1.064,70.211,61.292,8.919,66
8,0,58168,Davis Thompson,1.060,84.766,81.409,3.359,80
9,0,46442,Maverick McNealy,1.037,81.898,54.135,27.764,79
10,0,29725,Tony Finau,1.033,73.363,94.405,-21.044,71
11,0,51766,Wyndham Clark,1.032,63.954,34.441,29.512,62
12,0,27349,Alex Noren,1.011,60.644,47.892,12.753,60
13,0,47504,Sam Burns,1.003,66.208,33.478,32.730,66
14,0,39997,Corey Conners,0.962,75.059,88.159,-13.099,78
15,0,34098,Russell Henley,0.950,60.797,41.334,19.462,64
16,0,51634,Sahith Theegala,0.944,80.198,58.358,21.839,85
17,0,24502,Adam Scott,0.938,58.174,33.460,24.713,62
18,0,40250,Taylor Pendrith,0.880,62.503,20.455,42.046,71
19,0,52375,Doug Ghim,0.871,68.774,83.887,-15.115,79
20,0,51977,Max Greyserman,0.870,55.650,7.737,47.912,64
21,0,39546,Keith Mitchell,0.822,62.474,87.545,-25.071,76
22,0,39971,Sungjae Im,0.800,63.222,52.331,10.891,79
23,0,27644,Brian Harman,0.788,62.271,39.245,23.027,79
24,0,51997,Andrew Novak,0.786,60.517,60.765,-.248,77
25,0,33448,Justin Thomas,0.762,45.698,74.380,-28.682,60
26,0,37455,Si Woo Kim,0.761,59.396,76.433,-17.037,78
27,0,56630,Akshay Bhatia,0.748,59.102,31.859,27.240,79
28,0,48117,Kurt Kitayama,0.738,51.651,81.984,-30.333,70
