RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,52372,Cameron Champ,322.8,36794,114
2,0,28237,Rory McIlroy,320.2,44183,138
3,0,33948,Byeong Hun An,317.1,47570,150
4,0,47663,Kevin Dougherty,316.8,39285,124
5,0,59095,Chris Gotterup,316.2,44898,142
6,0,38991,Alejandro Tosti,315.6,43554,138
7,0,37378,Min Woo Lee,314.8,41548,132
8,0,51766,Wyndham Clark,314.0,42082,134
9,0,27064,Jhonattan Vegas,313.9,45196,144
10,0,40250,Taylor Pendrith,313.6,47673,152
11,0,31323,Gary Woodland,313.1,50093,160
12,0,37212,Paul Barjon,313.0,33180,106
13,0,59836,Pierceson Coody,312.6,48456,155
14,0,39546,Keith Mitchell,311.8,50515,162
15,0,56149,Wilson Furr,311.7,35533,114
16,0,50484,Hayden Springer,311.1,44487,143
17,0,34255,Joseph Bramlett,311.0,52242,168
17,0,51977,Max Greyserman,311.0,47584,153
17,0,51070,Vincent Norrman,311.0,30476,98
20,0,29936,Ryan Fox,310.9,48496,156
21,0,36799,Stephan Jaeger,310.3,49020,158
22,0,52955,Ludvig Åberg,310.1,46520,150
23,0,55454,Carl Yuan,309.8,39658,128
24,0,47420,Jake Knapp,309.5,46420,150
25,0,51696,Rico Hoey,309.3,51957,168
26,0,52453,Nicolai Højgaard,309.1,35239,114
26,0,33448,Justin Thomas,309.1,41414,134
28,0,28420,Ryan Brehm,309.0,37078,120
29,0,57366,Cameron Young,308.9,50036,162
30,0,54576,Patrick Fishburn,308.8,43226,140
30,0,54421,Garrick Higgo,308.8,48790,158
32,0,48117,Kurt Kitayama,308.7,48777,158
33,0,48081,Xander Schauffele,308.5,48750,158
34,0,29725,Tony Finau,308.4,48731,158
35,0,48867,Matti Schmid,308.2,47465,154
35,0,40006,Erik van Rooyen,308.2,48697,158
37,0,45242,Kevin Yu,308.0,44962,146
38,0,46340,Alex Smalley,307.5,45516,148
39,0,47504,Sam Burns,307.4,44884,146
40,0,59866,Nick Dunlap,307.3,41184,134
41,0,60767,Blaine Hale Jr.,307.1,31627,103
41,0,24502,Adam Scott,307.1,43612,142
43,0,34046,Jordan Spieth,306.9,42962,140
43,0,48699,Callum Tarren,306.9,42962,140
45,0,49947,Taylor Moore,306.8,60740,198
46,0,60067,Joe Highsmith,306.5,42605,139
47,0,55893,Sam Stevens,306.3,59735,195
47,0,58168,Davis Thompson,306.3,55132,180
49,0,46113,Ryan McCormick,306.2,37362,122
49,0,32333,Kevin Tway,306.2,36747,120
51,0,36699,Patrick Rodgers,306.1,61229,200
52,0,51894,Vince Whaley,306.0,43757,143
53,0,51634,Sahith Theegala,305.7,56854,186
54,0,33141,Keegan Bradley,305.5,48263,158
55,0,46717,Viktor Hovland,305.1,34780,114
56,0,34563,Chesson Hadley,305.0,40256,132
57,0,52215,Robert MacIntyre,304.9,43902,144
58,0,35310,Lanto Griffin,304.8,43889,144
59,0,27129,Luke List,304.7,46927,154
60,0,47988,Nick Hardy,304.5,52677,173
61,0,12716,Charley Hoffman,304.4,42620,140
62,0,59442,Parker Coody,303.9,33124,109
62,0,50188,S.H. Kim,303.9,63814,210
64,0,32070,Rafael Campos,303.8,35849,118
64,0,46046,Scottie Scheffler,303.8,43139,142
66,0,47995,Davis Riley,303.6,44326,146
67,0,33408,Tyson Alexander,303.3,45497,150
67,0,33653,Thomas Detry,303.3,40641,134
69,0,45157,Cam Davis,303.2,46689,154
