RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,48081,Xander Schauffele,2.92,994,340
2,0,51349,Nico Echavarria,2.95,1111,376
3,0,28775,Nate Lashley,2.96,941,318
3,0,51997,Andrew Novak,2.96,1077,364
3,0,27139,David Skinns,2.96,1048,354
6,0,29420,Billy Horschel,2.97,969,326
6,0,39975,Michael Kim,2.97,1041,350
8,0,40098,Matt Fitzpatrick,2.98,845,284
8,0,29936,Ryan Fox,2.98,979,328
8,0,57975,Harry Hall,2.98,1037,348
8,0,48117,Kurt Kitayama,2.98,964,324
8,0,47993,Denny McCarthy,2.98,1031,346
8,0,46442,Maverick McNealy,2.98,1159,389
8,0,39546,Keith Mitchell,2.98,1048,352
8,0,46046,Scottie Scheffler,2.98,894,300
8,0,52666,Sami Valimaki,2.98,794,266
8,0,40006,Erik van Rooyen,2.98,1002,336
18,0,51766,Wyndham Clark,2.99,861,288
18,0,34099,Harris English,2.99,1114,372
18,0,54576,Patrick Fishburn,2.99,903,302
18,0,51977,Max Greyserman,2.99,1019,341
18,0,54591,Ben Griffin,2.99,1434,480
18,0,34587,Chan Kim,2.99,1053,352
18,0,37455,Si Woo Kim,2.99,1125,376
18,0,27129,Luke List,2.99,933,312
18,0,50525,Collin Morikawa,2.99,957,320
18,0,48153,Matthieu Pavon,2.99,807,270
18,0,39327,Ben Silverman,2.99,1012,338
18,0,45242,Kevin Yu,2.99,945,316
30,0,52955,Ludvig Åberg,3.00,900,300
30,0,22371,Aaron Baddeley,3.00,949,316
30,0,34021,Bud Cauley,3.00,665,222
30,0,33653,Thomas Detry,3.00,881,294
30,0,30911,Tommy Fleetwood,3.00,853,284
30,0,34098,Russell Henley,3.00,863,288
30,0,60067,Joe Highsmith,3.00,913,304
30,0,24024,Zach Johnson,3.00,631,210
30,0,59143,Mac Meissner,3.00,936,312
30,0,55893,Sam Stevens,3.00,1278,426
30,0,49960,Sepp Straka,3.00,925,308
30,0,33448,Justin Thomas,3.00,889,296
30,0,32333,Kevin Tway,3.00,727,242
30,0,27064,Jhonattan Vegas,3.00,943,314
30,0,47483,Will Zalatoris,3.00,869,290
45,0,33948,Byeong Hun An,3.01,896,298
45,0,39997,Corey Conners,3.01,1047,348
45,0,32102,Rickie Fowler,3.01,969,322
45,0,29535,Brice Garnett,3.01,590,196
45,0,52375,Doug Ghim,3.01,1181,392
45,0,34563,Chesson Hadley,3.01,868,288
45,0,27644,Brian Harman,3.01,1053,350
45,0,54628,Lee Hodges,3.01,1157,384
45,0,39977,Max Homa,3.01,964,320
45,0,32839,Hideki Matsuyama,3.01,896,298
45,0,27349,Alex Noren,3.01,904,300
45,0,33968,Thorbjørn Olesen,3.01,614,204
45,0,57900,Chandler Phillips,3.01,1102,366
45,0,46414,Aaron Rai,3.01,1114,370
45,0,36699,Patrick Rodgers,3.01,1235,410
45,0,24502,Adam Scott,3.01,867,288
61,0,56630,Akshay Bhatia,3.02,1088,360
61,0,40058,Zac Blair,3.02,1063,352
61,0,59442,Parker Coody,3.02,730,242
61,0,52514,Trace Crowe,3.02,882,292
61,0,57362,Austin Eckroat,3.02,1153,382
61,0,60767,Blaine Hale Jr.,3.02,683,226
61,0,51287,Ryo Hisatsune,3.02,1107,366
61,0,27936,Martin Laird,3.02,917,304
61,0,40162,Justin Lower,3.02,1271,421
61,0,29908,C.T. Pan,3.02,736,244
61,0,51890,Greyson Sigg,3.02,1001,332
61,0,27214,Kevin Streelman,3.02,883,292
61,0,58168,Davis Thompson,3.02,1177,390
61,0,51894,Vince Whaley,3.02,942,312
75,0,47504,Sam Burns,3.03,927,306
75,0,47591,Eric Cole,3.03,1369,452
75,0,56149,Wilson Furr,3.03,745,246
75,0,33399,Adam Hadwin,3.03,1017,336
75,0,47988,Nick Hardy,3.03,1059,350
75,0,12716,Charley Hoffman,3.03,922,304
75,0,35532,Tom Hoge,3.03,1291,426
75,0,35461,Beau Hossler,3.03,1109,366
75,0,39971,Sungjae Im,3.03,1120,370
75,0,36884,Ben Kohles,3.03,1113,367
75,0,30163,Henrik Norlander,3.03,817,270
75,0,47679,Victor Perez,3.03,928,306
75,0,28252,Seamus Power,3.03,1187,392
75,0,47983,Chad Ramey,3.03,1085,358
75,0,48867,Matti Schmid,3.03,1017,336
75,0,46441,Robby Shelton,3.03,987,326
75,0,39324,J.J. Spaun,3.03,1006,332
75,0,50493,Justin Suh,3.03,959,316
75,0,51634,Sahith Theegala,3.03,1151,380
94,0,45522,Christiaan Bezuidenhout,3.04,988,325
94,0,60004,Jacob Bridgeman,3.04,1022,336
94,0,45157,Cam Davis,3.04,984,324
94,0,35310,Lanto Griffin,3.04,950,312
94,0,31646,Emiliano Grillo,3.04,1039,342
94,0,51696,Rico Hoey,3.04,1095,360
94,0,52453,Nicolai Højgaard,3.04,718,236
94,0,35506,Mackenzie Hughes,3.04,1185,390
94,0,52215,Robert MacIntyre,3.04,955,314
94,0,28237,Rory McIlroy,3.04,850,280
94,0,55789,Taylor Montgomery,3.04,729,240
