RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,0.748,53.865,72
2,1,51696,Rico Hoey,0.691,50.434,73
3,-1,28237,Rory McIlroy,0.671,33.536,50
4,0,45242,Kevin Yu,0.615,47.960,78
5,1,35706,Niklas Norgaard,0.599,24.543,41
6,-1,63343,Aldrich Potgieter,0.570,25.088,44
7,0,59095,Chris Gotterup,0.568,40.866,72
8,2,57586,Jesper Svensson,0.562,40.485,72
9,0,57364,Michael Thorbjornsen,0.550,34.081,62
10,3,56781,Isaiah Salinda,0.546,31.684,58
11,-3,40250,Taylor Pendrith,0.543,41.822,77
12,-1,48117,Kurt Kitayama,0.535,35.853,67
13,-1,52955,Ludvig Åberg,0.524,31.446,60
14,0,39546,Keith Mitchell,0.513,33.842,66
15,1,50525,Collin Morikawa,0.492,32.458,66
16,-1,58168,Davis Thompson,0.450,35.118,78
17,0,46340,Alex Smalley,0.447,29.931,67
18,2,40026,Daniel Berger,0.422,26.979,64
19,-1,60882,Thomas Rosenmueller,0.408,22.020,54
20,-1,57123,Steven Fisk,0.404,25.031,62
21,0,46414,Aaron Rai,0.391,24.608,63
22,1,39997,Corey Conners,0.388,28.306,73
23,3,59440,Ricky Castillo,0.387,23.596,61
24,5,51950,Max McGreevy,0.379,25.386,67
25,-1,33948,Byeong Hun An,0.372,29.049,78
26,0,38991,Alejandro Tosti,0.352,15.128,43
27,1,24502,Adam Scott,0.348,20.199,58
28,-6,27129,Luke List,0.347,21.532,62
29,-4,63121,William Mouw,0.341,17.056,50
30,0,57366,Cameron Young,0.317,25.647,81
31,0,33141,Keegan Bradley,0.316,23.033,73
32,0,34046,Jordan Spieth,0.313,18.799,60
33,0,39971,Sungjae Im,0.312,25.623,82
34,0,37455,Si Woo Kim,0.310,26.660,86
35,0,66743,Luke Clanton,0.300,14.703,49
36,-1,35450,Patrick Cantlay,0.298,19.638,66
37,-1,39335,Kevin Roy,0.296,19.212,65
38,-1,39324,J.J. Spaun,0.291,22.088,76
39,-1,32102,Rickie Fowler,0.285,20.200,71
40,0,54576,Patrick Fishburn,0.275,18.129,66
41,-1,52375,Doug Ghim,0.272,19.328,71
42,-3,55893,Sam Stevens,0.271,25.777,95
43,-1,27064,Jhonattan Vegas,0.262,16.264,62
44,0,49453,Trevor Cone,0.257,13.364,52
45,-2,57362,Austin Eckroat,0.250,17.748,71
