RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,47504,Sam Burns,0.983,82.585,84
2,0,55789,Taylor Montgomery,0.932,45.656,49
3,0,57975,Harry Hall,0.881,73.979,84
4,0,47993,Denny McCarthy,0.656,51.156,78
5,0,57366,Cameron Young,0.642,52.018,81
6,0,28237,Rory McIlroy,0.597,29.844,50
6,0,37275,Sam Ryder,0.597,41.183,69
8,0,51349,Nico Echavarria,0.593,38.546,65
9,0,49590,Frankie Capan III,0.589,30.637,52
10,0,27649,Brandt Snedeker,0.577,28.272,49
11,0,45522,Christiaan Bezuidenhout,0.509,37.184,73
12,0,52666,Sami Valimaki,0.496,32.712,66
13,0,47420,Jake Knapp,0.456,33.717,74
14,0,23108,Matt Kuchar,0.439,23.730,54
15,0,34099,Harris English,0.431,31.438,73
16,0,34256,Andrew Putnam,0.426,24.306,57
17,0,60004,Jacob Bridgeman,0.413,35.094,85
18,0,54591,Ben Griffin,0.407,38.646,95
19,0,30911,Tommy Fleetwood,0.404,26.693,66
20,0,46046,Scottie Scheffler,0.382,27.512,72
21,0,46442,Maverick McNealy,0.381,31.613,83
22,0,47917,Takumi Kanaya,0.362,18.122,50
23,0,59141,Matt McCarty,0.349,23.753,68
24,0,33448,Justin Thomas,0.340,23.772,70
25,0,40098,Matt Fitzpatrick,0.326,21.510,66
26,0,50484,Hayden Springer,0.321,16.394,51
27,0,36824,Paul Peterson,0.311,13.692,44
28,0,48867,Matti Schmid,0.304,18.548,61
29,0,52144,Braden Thornberry,0.295,12.102,41
30,0,35461,Beau Hossler,0.294,22.055,75
31,0,33968,Thorbjørn Olesen,0.290,17.981,62
32,0,56630,Akshay Bhatia,0.277,21.905,79
33,0,63121,William Mouw,0.263,12.627,48
34,0,51977,Max Greyserman,0.262,19.920,76
35,0,31646,Emiliano Grillo,0.261,20.329,78
36,0,52215,Robert MacIntyre,0.251,19.573,78
36,0,47983,Chad Ramey,0.251,14.579,58
38,0,49960,Sepp Straka,0.237,16.112,68
39,0,46443,Brian Campbell,0.230,12.675,55
40,0,31323,Gary Woodland,0.229,16.515,72
41,0,36799,Stephan Jaeger,0.228,16.883,74
42,0,36801,Mark Hubbard,0.224,16.794,75
43,0,34098,Russell Henley,0.220,14.526,66
44,0,47591,Eric Cole,0.207,18.666,90
45,0,58605,Quade Cummins,0.193,10.642,55
45,0,29936,Ryan Fox,0.193,12.371,64
47,0,52453,Nicolai Højgaard,0.190,7.992,42
48,0,51894,Vince Whaley,0.184,12.680,69
49,0,29535,Brice Garnett,0.178,9.971,56
49,0,47679,Victor Perez,0.178,12.314,69
51,0,47995,Davis Riley,0.174,10.979,63
52,0,51997,Andrew Novak,0.162,12.610,78
53,0,37378,Min Woo Lee,0.161,9.012,56
54,0,22405,Justin Rose,0.156,7.627,49
55,0,35450,Patrick Cantlay,0.155,10.245,66
56,0,34046,Jordan Spieth,0.152,9.133,60
57,0,39335,Kevin Roy,0.144,8.786,61
57,0,35658,Kris Ventura,0.144,8.804,61
59,0,51766,Wyndham Clark,0.142,9.348,66
59,0,39859,Cristobal Del Solar,0.142,7.122,50
61,0,28089,Jason Day,0.138,6.740,49
62,0,39997,Corey Conners,0.133,9.728,73
63,0,25493,Nick Taylor,0.128,9.240,72
64,0,33653,Thomas Detry,0.126,9.425,75
65,0,59866,Nick Dunlap,0.125,7.977,64
66,0,34021,Bud Cauley,0.123,7.889,64
67,0,46340,Alex Smalley,0.121,7.852,65
67,0,48887,Matt Wallace,0.121,6.074,50
69,0,55165,Noah Goodwin,0.118,5.910,50
70,0,35506,Mackenzie Hughes,0.116,9.036,78
70,0,39327,Ben Silverman,0.116,6.513,56
72,0,39324,J.J. Spaun,0.113,8.575,76
73,0,27770,Camilo Villegas,0.106,5.732,54
74,0,57586,Jesper Svensson,0.100,6.768,68
74,0,54607,Danny Walker,0.100,4.610,46
76,0,54576,Patrick Fishburn,0.098,6.255,64
76,0,35310,Lanto Griffin,0.098,5.613,57
78,0,39971,Sungjae Im,0.094,7.742,82
79,0,33399,Adam Hadwin,0.091,6.468,71
80,0,32102,Rickie Fowler,0.085,6.005,71
81,0,36699,Patrick Rodgers,0.081,6.215,77
82,0,35706,Niklas Norgaard,0.078,3.188,41
82,0,63343,Aldrich Potgieter,0.078,3.356,43
84,0,48153,Matthieu Pavon,0.076,5.078,67
85,0,27644,Brian Harman,0.064,4.903,77
86,0,55893,Sam Stevens,0.055,5.220,95
87,0,52955,Ludvig Åberg,0.051,3.066,60
88,0,33199,Matteo Manassero,0.046,1.697,37
89,0,34466,Peter Malnati,0.034,2.022,60
90,0,49771,J.T. Poston,0.033,2.625,80
91,0,40250,Taylor Pendrith,0.028,2.177,77
92,0,33597,Harry Higgs,0.026,1.597,61
