RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,4.70,376,80
2,0,57975,Harry Hall,4.56,429,94
3,0,33448,Justin Thomas,4.46,357,80
4,0,47420,Jake Knapp,4.42,340,77
5,0,55789,Taylor Montgomery,4.40,255,58
6,0,52453,Nicolai Højgaard,4.35,226,52
7,1,39546,Keith Mitchell,4.33,329,76
8,1,57586,Jesper Svensson,4.32,341,79
9,-2,57364,Michael Thorbjornsen,4.31,323,75
10,3,48117,Kurt Kitayama,4.30,318,74
10,0,57366,Cameron Young,4.30,374,87
12,-1,56630,Akshay Bhatia,4.29,373,87
12,-1,49960,Sepp Straka,4.29,326,76
14,3,54607,Danny Walker,4.28,278,65
15,3,50484,Hayden Springer,4.27,273,64
16,-2,45242,Kevin Yu,4.26,379,89
17,-3,47504,Sam Burns,4.24,399,94
18,12,59141,Matt McCarty,4.22,359,85
18,-2,28237,Rory McIlroy,4.22,245,58
20,-2,46717,Viktor Hovland,4.20,273,65
21,-1,22405,Justin Rose,4.19,243,58
22,-1,48867,Matti Schmid,4.18,334,80
23,-1,52955,Ludvig Åberg,4.16,287,69
23,-1,51766,Wyndham Clark,4.16,333,80
23,-1,30911,Tommy Fleetwood,4.16,308,74
26,-1,35450,Patrick Cantlay,4.14,306,74
26,10,51696,Rico Hoey,4.14,364,88
26,-1,52686,Rasmus Højgaard,4.14,273,66
26,2,56781,Isaiah Salinda,4.14,269,65
30,-2,34098,Russell Henley,4.13,297,72
30,-5,46340,Alex Smalley,4.13,322,78
32,-1,58168,Davis Thompson,4.09,352,86
33,-1,51977,Max Greyserman,4.08,363,89
33,10,46601,Trey Mullinax,4.08,245,60
33,-1,35706,Niklas Norgaard,4.08,196,48
36,-2,59095,Chris Gotterup,4.07,370,91
36,1,36799,Stephan Jaeger,4.07,346,85
38,-3,52215,Robert MacIntyre,4.06,341,84
39,4,37275,Sam Ryder,4.05,324,80
40,-3,37455,Si Woo Kim,4.02,382,95
40,-3,32839,Hideki Matsuyama,4.02,346,86
40,10,60882,Thomas Rosenmueller,4.02,261,65
40,-3,39324,J.J. Spaun,4.02,350,87
44,-3,50525,Collin Morikawa,4.01,305,76
45,2,60004,Jacob Bridgeman,3.99,351,88
45,2,32102,Rickie Fowler,3.99,307,77
45,-4,39335,Kevin Roy,3.99,315,79
48,-5,36801,Mark Hubbard,3.98,350,88
49,1,54591,Ben Griffin,3.97,397,100
49,0,54304,Karl Vilips,3.97,230,58
51,36,40058,Zac Blair,3.96,194,49
51,1,47591,Eric Cole,3.96,384,97
53,0,23108,Matt Kuchar,3.95,221,56
53,0,40006,Erik van Rooyen,3.95,261,66
55,-2,54628,Lee Hodges,3.94,260,66
55,1,39971,Sungjae Im,3.94,382,97
55,-12,63121,William Mouw,3.94,256,65
55,7,35658,Kris Ventura,3.94,284,72
59,0,31646,Emiliano Grillo,3.93,350,89
60,0,66743,Luke Clanton,3.92,196,50
60,-3,51349,Nico Echavarria,3.92,302,77
60,-3,48081,Xander Schauffele,3.92,251,64
63,-4,29936,Ryan Fox,3.91,274,70
63,-4,63343,Aldrich Potgieter,3.91,215,55
63,-1,27770,Camilo Villegas,3.91,250,64
66,3,55165,Noah Goodwin,3.90,238,61
66,21,33968,Thorbjørn Olesen,3.90,265,68
66,-4,34046,Jordan Spieth,3.90,265,68
69,17,28089,Jason Day,3.89,241,62
69,12,39977,Max Homa,3.89,284,73
69,-3,49947,Taylor Moore,3.89,288,74
69,15,47679,Victor Perez,3.89,296,76
69,0,36824,Paul Peterson,3.89,218,56
69,-3,52666,Sami Valimaki,3.89,284,73
69,0,50474,Tim Widing,3.89,171,44
76,-4,33597,Harry Higgs,3.88,287,74
76,-7,40250,Taylor Pendrith,3.88,318,82
76,-10,46646,Antoine Rozner,3.88,252,65
79,0,33413,Ben Martin,3.87,182,47
79,-17,46442,Maverick McNealy,3.87,364,94
81,-7,39997,Corey Conners,3.86,313,81
81,18,32757,Patton Kizzire,3.86,224,58
81,-7,24502,Adam Scott,3.86,255,66
81,13,51634,Sahith Theegala,3.86,266,69
85,-9,25900,Lucas Glover,3.85,289,75
85,-13,35461,Beau Hossler,3.85,323,84
85,14,51950,Max McGreevy,3.85,300,78
85,-9,46414,Aaron Rai,3.85,277,72
85,2,36699,Patrick Rodgers,3.85,339,88
85,-9,51894,Vince Whaley,3.85,339,88
91,-10,33141,Keegan Bradley,3.83,306,80
91,-10,34021,Bud Cauley,3.83,276,72
91,25,27649,Brandt Snedeker,3.83,230,60
91,29,60019,Jackson Suber,3.83,249,65
95,-16,59440,Ricky Castillo,3.82,275,72
96,7,36884,Ben Kohles,3.81,274,72
96,-9,52513,Carson Young,3.81,259,68
98,-14,33399,Adam Hadwin,3.80,285,75
98,-11,47995,Davis Riley,3.80,304,80
100,-8,54576,Patrick Fishburn,3.79,292,77
100,-21,57123,Steven Fisk,3.79,269,71
100,-8,37378,Min Woo Lee,3.79,250,66
100,16,47347,Adam Schenk,3.79,254,67
104,-10,35310,Lanto Griffin,3.78,246,65
104,-10,30926,Chris Kirk,3.78,280,74
104,-1,59143,Mac Meissner,3.78,302,80
107,-9,57362,Austin Eckroat,3.77,294,78
107,-4,50582,Jeremy Paul,3.77,241,64
109,-10,40098,Matt Fitzpatrick,3.76,278,74
109,-10,52375,Doug Ghim,3.76,278,74
109,-15,34587,Chan Kim,3.76,267,71
112,-9,33948,Byeong Hun An,3.75,330,88
112,-9,25493,Nick Taylor,3.75,300,80
