RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,54421,Garrick Higgo,27.89%,241,864,8
2,0,46046,Scottie Scheffler,27.08%,390,1440,11
3,0,57975,Harry Hall,25.83%,437,1692,145
4,0,59836,Pierceson Coody,25.53%,239,936,4
5,0,33448,Justin Thomas,25.35%,365,1440,139
6,0,39546,Keith Mitchell,25.33%,383,1512,19
7,0,47420,Jake Knapp,25.25%,350,1386,79
8,0,57364,Michael Thorbjornsen,25.23%,377,1494,1
9,0,48117,Kurt Kitayama,25.00%,333,1332,73
10,0,52453,Nicolai Højgaard,24.89%,233,936,20
11,0,57586,Jesper Svensson,24.84%,398,1602,75
12,0,28237,Rory McIlroy,24.62%,257,1044,76
13,0,45242,Kevin Yu,24.55%,411,1674,14
14,0,51696,Rico Hoey,24.50%,441,1800,2
15,0,55789,Taylor Montgomery,24.49%,291,1188,166
16,0,49960,Sepp Straka,24.42%,334,1368,24
17,0,50484,Hayden Springer,24.38%,316,1296,125
18,0,56630,Akshay Bhatia,24.33%,381,1566,81
19,0,54607,Danny Walker,24.32%,302,1242,147
20,0,48867,Matti Schmid,24.24%,384,1584,58
21,0,47504,Sam Burns,24.17%,409,1692,118
22,0,57366,Cameron Young,24.14%,378,1566,159
23,0,46340,Alex Smalley,24.03%,372,1548,55
24,0,46717,Viktor Hovland,24.02%,281,1170,88
25,0,52666,Sami Valimaki,23.99%,367,1530,47
26,0,52955,Ludvig Åberg,23.83%,296,1242,114
27,0,52686,Rasmus Højgaard,23.82%,283,1188,101
27,0,47056,Rikuya Hoshino,23.82%,223,936,151
29,0,22405,Justin Rose,23.75%,248,1044,161
30,0,56781,Isaiah Salinda,23.74%,312,1314,53
31,0,59141,Matt McCarty,23.73%,363,1530,100
31,0,46601,Trey Mullinax,23.73%,299,1260,31
33,0,35450,Patrick Cantlay,23.72%,316,1332,27
33,0,51349,Nico Echavarria,23.72%,380,1602,89
33,0,51977,Max Greyserman,23.72%,397,1674,135
36,0,58168,Davis Thompson,23.64%,383,1620,37
37,0,30911,Tommy Fleetwood,23.57%,314,1332,127
