RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,46046,Scottie Scheffler,10.56%,152,1440
2,0,54421,Garrick Higgo,11.92%,103,864
3,0,34256,Andrew Putnam,12.20%,180,1476
4,0,51894,Vince Whaley,12.33%,222,1800
5,0,29535,Brice Garnett,12.42%,152,1224
5,0,23108,Matt Kuchar,12.42%,152,1224
7,0,54628,Lee Hodges,12.68%,178,1404
8,0,47917,Takumi Kanaya,12.96%,189,1458
9,0,54591,Ben Griffin,12.98%,243,1872
10,0,59836,Pierceson Coody,13.03%,122,936
11,0,34098,Russell Henley,13.19%,171,1296
12,0,50582,Jeremy Paul,13.21%,176,1332
13,0,59095,Chris Gotterup,13.25%,217,1638
14,0,28775,Nate Lashley,13.31%,127,954
15,0,59143,Mac Meissner,13.36%,202,1512
16,0,33968,Thorbjørn Olesen,13.46%,189,1404
17,0,57975,Harry Hall,13.53%,229,1692
18,0,36884,Ben Kohles,13.56%,205,1512
18,0,51890,Greyson Sigg,13.56%,188,1386
20,0,39335,Kevin Roy,13.60%,213,1566
21,0,59440,Ricky Castillo,13.68%,197,1440
21,0,39324,J.J. Spaun,13.68%,224,1638
23,0,47679,Victor Perez,13.69%,202,1476
24,0,47983,Chad Ramey,13.72%,205,1494
24,0,57364,Michael Thorbjornsen,13.72%,205,1494
26,0,49960,Sepp Straka,13.82%,189,1368
27,0,34099,Harris English,13.83%,219,1584
28,0,32102,Rickie Fowler,13.85%,192,1386
29,0,45522,Christiaan Bezuidenhout,13.86%,222,1602
30,0,27649,Brandt Snedeker,13.89%,175,1260
31,0,46340,Alex Smalley,13.95%,216,1548
32,0,54576,Patrick Fishburn,14.05%,220,1566
33,0,57123,Steven Fisk,14.06%,205,1458
33,0,24024,Zach Johnson,14.06%,124,882
35,0,51287,Ryo Hisatsune,14.07%,233,1656
35,0,47420,Jake Knapp,14.07%,195,1386
37,0,28237,Rory McIlroy,14.18%,148,1044
37,0,30163,Henrik Norlander,14.18%,217,1530
39,0,33199,Matteo Manassero,14.21%,133,936
40,0,28252,Seamus Power,14.23%,210,1476
40,0,25493,Nick Taylor,14.23%,210,1476
42,0,63121,William Mouw,14.31%,188,1314
42,0,52666,Sami Valimaki,14.31%,219,1530
44,0,37275,Sam Ryder,14.39%,228,1584
45,0,35450,Patrick Cantlay,14.41%,192,1332
46,0,40115,Adam Svensson,14.42%,205,1422
46,0,35658,Kris Ventura,14.42%,218,1512
48,0,31646,Emiliano Grillo,14.46%,242,1674
48,0,52513,Carson Young,14.46%,203,1404
50,0,39546,Keith Mitchell,14.48%,219,1512
51,0,30911,Tommy Fleetwood,14.49%,193,1332
52,0,47993,Denny McCarthy,14.52%,230,1584
53,0,52375,Doug Ghim,14.53%,225,1548
54,0,48887,Matt Wallace,14.56%,207,1422
55,0,33204,Shane Lowry,14.60%,184,1260
56,0,51696,Rico Hoey,14.61%,263,1800
57,0,59141,Matt McCarty,14.64%,224,1530
58,0,33141,Keegan Bradley,14.65%,211,1440
