RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,63343,Aldrich Potgieter,324.8,35075,108
2,0,28237,Rory McIlroy,323.0,37472,116
3,0,57586,Jesper Svensson,320.4,48056,150
4,0,35706,Niklas Norgaard,320.2,30736,96
5,0,52453,Nicolai Højgaard,318.8,33156,104
6,0,48117,Kurt Kitayama,317.3,44418,140
7,0,57364,Michael Thorbjornsen,317.1,45030,142
8,0,59095,Chris Gotterup,316.7,57644,182
9,0,56762,Will Gordon,316.4,31638,100
10,0,49453,Trevor Cone,315.8,36001,114
11,0,52686,Rasmus Højgaard,314.9,41563,132
11,0,46601,Trey Mullinax,314.9,35264,112
13,0,39546,Keith Mitchell,314.5,47804,152
14,0,38991,Alejandro Tosti,314.2,32367,103
15,0,52955,Ludvig Åberg,313.9,43325,138
16,0,37378,Min Woo Lee,313.8,41428,132
17,0,48867,Matti Schmid,313.7,50188,160
18,0,47420,Jake Knapp,313.4,48264,154
18,0,35658,Kris Ventura,313.4,42616,136
20,0,57123,Steven Fisk,313.2,43223,138
20,0,57366,Cameron Young,313.2,54494,174
22,0,31323,Gary Woodland,313.0,47582,152
23,0,56781,Isaiah Salinda,312.6,38139,122
24,0,59440,Ricky Castillo,312.3,43727,140
24,0,60882,Thomas Rosenmueller,312.3,39347,126
26,0,48081,Xander Schauffele,311.9,39922,128
27,0,51766,Wyndham Clark,311.7,49879,160
27,0,27139,David Skinns,311.7,39270,126
29,0,47988,Nick Hardy,311.5,34262,110
30,0,40250,Taylor Pendrith,311.2,51035,164
31,0,27129,Luke List,311.0,40436,130
32,0,50484,Hayden Springer,310.8,37296,120
33,0,45242,Kevin Yu,309.5,52614,170
34,0,46646,Antoine Rozner,309.3,38972,126
35,0,51894,Vince Whaley,309.1,51928,168
36,0,27064,Jhonattan Vegas,309.0,43880,142
37,0,33597,Harry Higgs,308.9,43247,140
37,0,63121,William Mouw,308.9,38927,126
39,0,29936,Ryan Fox,308.7,43213,140
39,0,51977,Max Greyserman,308.7,54944,178
41,0,51696,Rico Hoey,308.6,51841,168
41,0,49947,Taylor Moore,308.6,43198,140
43,0,60019,Jackson Suber,308.5,37631,122
44,0,46046,Scottie Scheffler,308.3,49322,160
45,0,54607,Danny Walker,308.1,37588,122
46,0,50582,Jeremy Paul,307.9,36946,120
46,0,46340,Alex Smalley,307.9,46799,152
46,0,40006,Erik van Rooyen,307.9,40638,132
49,0,47504,Sam Burns,307.5,57805,188
50,0,54576,Patrick Fishburn,307.4,46105,150
51,0,36699,Patrick Rodgers,307.2,51611,168
52,0,54304,Karl Vilips,306.9,33147,108
53,0,33948,Byeong Hun An,306.6,53956,176
53,0,46442,Maverick McNealy,306.6,56417,184
53,0,34046,Jordan Spieth,306.6,41703,136
56,0,33653,Thomas Detry,306.5,50267,164
57,0,33141,Keegan Bradley,306.4,49031,160
57,0,39335,Kevin Roy,306.4,45955,150
59,0,33968,Thorbjørn Olesen,306.1,39182,128
59,0,47347,Adam Schenk,306.1,38563,126
61,0,64693,Matthew Riedel,306.0,33053,108
61,0,55893,Sam Stevens,306.0,62430,204
63,0,35450,Patrick Cantlay,305.9,45266,148
63,0,47995,Davis Riley,305.9,48942,160
65,0,36799,Stephan Jaeger,305.8,49532,162
66,0,32070,Rafael Campos,305.6,43396,142
67,0,32102,Rickie Fowler,305.3,47019,154
67,0,54591,Ben Griffin,305.3,61065,200
67,0,34587,Chan Kim,305.3,42138,138
67,0,39324,J.J. Spaun,305.3,53126,174
67,0,33448,Justin Thomas,305.3,48846,160
72,0,39859,Cristobal Del Solar,305.2,36012,118
73,0,35461,Beau Hossler,305.0,50016,164
74,0,29725,Tony Finau,304.9,43292,142
74,0,24502,Adam Scott,304.9,40252,132
76,0,58168,Davis Thompson,304.7,51185,168
77,0,55708,Hayden Buckley,304.4,26790,88
77,0,58605,Quade Cummins,304.4,40186,132
79,0,34099,Harris English,304.3,51130,168
80,0,55789,Taylor Montgomery,304.1,34061,112
81,0,47679,Victor Perez,303.7,43739,144
82,0,57975,Harry Hall,303.6,57074,188
83,0,48887,Matt Wallace,303.4,40655,134
84,0,46717,Viktor Hovland,303.3,39431,130
85,0,52144,Braden Thornberry,303.2,29718,98
86,0,52375,Doug Ghim,303.1,42436,140
87,0,49590,Frankie Capan III,303.0,34537,114
88,0,40098,Matt Fitzpatrick,302.7,44797,148
88,0,54628,Lee Hodges,302.7,38747,128
88,0,52215,Robert MacIntyre,302.7,50846,168
91,0,40026,Daniel Berger,302.6,45395,150
92,0,59143,Mac Meissner,302.5,45985,152
93,0,51634,Sahith Theegala,302.3,39305,130
94,0,60004,Jacob Bridgeman,302.2,53180,176
94,0,45157,Cam Davis,302.2,38678,128
96,0,59018,Ryan Gerard,302.1,55583,184
96,0,55165,Noah Goodwin,302.1,35642,118
