RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,33199,Matteo Manassero,68.90%,226,328
2,0,47917,Takumi Kanaya,68.84%,338,491
3,0,46046,Scottie Scheffler,68.69%,283,412
4,0,23108,Matt Kuchar,67.72%,279,412
5,0,59143,Mac Meissner,65.92%,325,493
6,0,57975,Harry Hall,65.88%,390,592
7,0,54421,Garrick Higgo,65.71%,161,245
8,0,51894,Vince Whaley,65.55%,373,569
9,0,34256,Andrew Putnam,65.15%,286,439
10,0,32839,Hideki Matsuyama,64.97%,345,531
11,0,29535,Brice Garnett,64.48%,236,366
12,0,28775,Nate Lashley,64.42%,201,312
13,0,54628,Lee Hodges,63.86%,258,404
14,0,45522,Christiaan Bezuidenhout,63.81%,342,536
15,0,28237,Rory McIlroy,63.80%,215,337
16,0,59440,Ricky Castillo,63.78%,280,439
17,0,27649,Brandt Snedeker,63.72%,267,419
18,0,34099,Harris English,63.64%,336,528
19,0,59095,Chris Gotterup,63.58%,309,486
20,0,54591,Ben Griffin,63.56%,361,568
21,0,34098,Russell Henley,63.40%,246,388
21,0,48887,Matt Wallace,63.40%,291,459
23,0,30911,Tommy Fleetwood,63.30%,288,455
24,0,46340,Alex Smalley,63.22%,306,484
25,0,32102,Rickie Fowler,63.20%,304,481
26,0,55789,Taylor Montgomery,63.05%,273,433
27,0,39975,Michael Kim,62.98%,381,605
28,0,59141,Matt McCarty,62.80%,319,508
29,0,25493,Nick Taylor,62.75%,288,459
30,0,60004,Jacob Bridgeman,62.65%,369,589
31,0,33141,Keegan Bradley,62.58%,306,489
32,0,36699,Patrick Rodgers,62.42%,372,596
33,0,51890,Greyson Sigg,62.29%,256,411
34,0,35506,Mackenzie Hughes,62.27%,340,546
35,0,55893,Sam Stevens,62.25%,409,657
36,0,37275,Sam Ryder,62.22%,336,540
37,0,33204,Shane Lowry,62.17%,258,415
37,0,57900,Chandler Phillips,62.17%,309,497
39,0,47420,Jake Knapp,62.14%,279,449
40,0,37455,Si Woo Kim,62.12%,369,594
41,0,39546,Keith Mitchell,62.11%,277,446
42,0,36326,David Lipsky,62.08%,298,480
43,0,59836,Pierceson Coody,61.92%,161,260
44,0,47056,Rikuya Hoshino,61.82%,204,330
45,0,47591,Eric Cole,61.56%,426,692
45,0,55623,Kaito Onishi,61.56%,245,398
47,0,40026,Daniel Berger,61.50%,278,452
48,0,40098,Matt Fitzpatrick,61.40%,272,443
49,0,28252,Seamus Power,61.35%,281,458
50,0,52513,Carson Young,61.21%,262,428
51,0,47993,Denny McCarthy,61.09%,325,532
52,0,58605,Quade Cummins,60.99%,297,487
53,0,30163,Henrik Norlander,60.97%,289,474
54,0,39324,J.J. Spaun,60.92%,304,499
55,0,39335,Kevin Roy,60.91%,296,486
56,0,52370,Mason Andersen,60.86%,255,419
57,0,50582,Jeremy Paul,60.83%,250,411
58,0,52215,Robert MacIntyre,60.76%,288,474
59,0,35461,Beau Hossler,60.73%,365,601
59,0,36884,Ben Kohles,60.73%,249,410
61,0,47983,Chad Ramey,60.68%,284,468
62,0,55165,Noah Goodwin,60.64%,248,409
62,0,39971,Sungjae Im,60.64%,396,653
64,0,63121,William Mouw,60.62%,234,386
65,0,30926,Chris Kirk,60.58%,272,449
66,0,27644,Brian Harman,60.55%,333,550
67,0,35532,Tom Hoge,60.49%,372,615
68,0,51287,Ryo Hisatsune,60.47%,306,506
69,0,32757,Patton Kizzire,60.45%,240,397
70,0,28089,Jason Day,60.42%,229,379
71,0,49771,J.T. Poston,60.36%,338,560
72,0,52666,Sami Valimaki,60.34%,286,474
73,0,47504,Sam Burns,60.28%,346,574
74,0,51349,Nico Echavarria,60.19%,316,525
75,0,39977,Max Homa,60.18%,266,442
76,0,25900,Lucas Glover,60.17%,281,467
77,0,47679,Victor Perez,60.14%,252,419
78,0,34021,Bud Cauley,60.13%,273,454
79,0,39327,Ben Silverman,60.05%,257,428
80,0,52955,Ludvig Åberg,60.00%,252,420
81,0,40058,Zac Blair,59.94%,211,352
81,0,38991,Alejandro Tosti,59.94%,199,332
83,0,50525,Collin Morikawa,59.86%,252,421
84,0,34076,Joel Dahmen,59.81%,250,418
85,0,36801,Mark Hubbard,59.79%,336,562
86,0,40115,Adam Svensson,59.68%,259,434
87,0,35450,Patrick Cantlay,59.65%,238,399
88,0,33948,Byeong Hun An,59.61%,338,567
89,0,34046,Jordan Spieth,59.58%,258,433
90,0,36824,Paul Peterson,59.57%,224,376
91,0,33968,Thorbjørn Olesen,59.55%,237,398
92,0,37378,Min Woo Lee,59.53%,256,430
93,0,51997,Andrew Novak,59.42%,366,616
94,0,52375,Doug Ghim,59.38%,269,453
95,0,57366,Cameron Young,59.36%,333,561
96,0,49960,Sepp Straka,59.31%,242,408
97,0,49590,Frankie Capan III,59.27%,294,496
98,0,34587,Chan Kim,59.24%,279,471
99,0,31646,Emiliano Grillo,59.20%,312,527
99,0,33448,Justin Thomas,59.20%,296,500
101,0,46414,Aaron Rai,59.16%,226,382
102,0,33653,Thomas Detry,59.14%,304,514
103,0,34255,Joseph Bramlett,59.13%,149,252
104,0,47347,Adam Schenk,59.09%,286,484
105,0,57123,Steven Fisk,59.08%,244,413
106,0,36799,Stephan Jaeger,59.04%,333,564
106,0,24024,Zach Johnson,59.04%,160,271
106,0,34466,Peter Malnati,59.04%,258,437
109,0,39997,Corey Conners,59.02%,265,449
109,0,60019,Jackson Suber,59.02%,252,427
111,0,51690,Taylor Dickson,59.00%,259,439
112,0,49947,Taylor Moore,58.99%,279,473
113,0,55182,Tom Kim,58.94%,333,565
114,0,59160,John Pak,58.92%,261,443
114,0,56781,Isaiah Salinda,58.92%,241,409
116,0,59018,Ryan Gerard,58.77%,355,604
117,0,48117,Kurt Kitayama,58.74%,252,429
118,0,57364,Michael Thorbjornsen,58.73%,232,395
119,0,35310,Lanto Griffin,58.63%,248,423
120,0,27129,Luke List,58.58%,256,437
121,0,51696,Rico Hoey,58.47%,283,484
122,0,51977,Max Greyserman,58.20%,337,579
123,0,31323,Gary Woodland,58.11%,258,444
124,0,35658,Kris Ventura,58.04%,267,460
125,0,54576,Patrick Fishburn,57.98%,258,445
126,0,51766,Wyndham Clark,57.94%,292,504
127,0,58168,Davis Thompson,57.89%,286,494
128,0,46442,Maverick McNealy,57.88%,312,539
128,0,58619,Kevin Velo,57.88%,224,387
130,0,40250,Taylor Pendrith,57.86%,265,458
131,0,29725,Tony Finau,57.81%,259,448
131,0,33413,Ben Martin,57.81%,174,301
133,0,47995,Davis Riley,57.79%,330,571
134,0,51950,Max McGreevy,57.71%,292,506
135,0,27139,David Skinns,57.55%,244,424
136,0,48081,Xander Schauffele,57.48%,219,381
137,0,46443,Brian Campbell,57.47%,273,475
137,0,50484,Hayden Springer,57.47%,254,442
139,0,57586,Jesper Svensson,57.45%,297,517
140,0,46717,Viktor Hovland,57.44%,220,383
141,0,40162,Justin Lower,57.08%,270,473
142,0,47988,Nick Hardy,57.06%,190,333
143,0,52144,Braden Thornberry,56.93%,226,397
144,0,33597,Harry Higgs,56.92%,292,513
145,0,59866,Nick Dunlap,56.83%,262,461
146,0,56762,Will Gordon,56.60%,193,341
147,0,54607,Danny Walker,56.55%,246,435
148,0,27064,Jhonattan Vegas,56.37%,239,424
149,0,64693,Matthew Riedel,56.35%,213,378
150,0,48867,Matti Schmid,56.34%,280,497
151,0,49453,Trevor Cone,56.30%,210,373
152,0,55708,Hayden Buckley,56.29%,188,334
153,0,56630,Akshay Bhatia,56.19%,286,509
154,0,60882,Thomas Rosenmueller,56.10%,216,385
155,0,24502,Adam Scott,56.08%,226,403
156,0,51634,Sahith Theegala,55.91%,260,465
157,0,27770,Camilo Villegas,55.80%,255,457
158,0,33399,Adam Hadwin,55.66%,295,530
159,0,45242,Kevin Yu,55.60%,273,491
160,0,22405,Justin Rose,55.32%,208,376
161,0,58933,Will Chandler,55.26%,273,494
162,0,52453,Nicolai Højgaard,55.23%,153,277
163,0,45523,Thriston Lawrence,55.19%,170,308
164,0,45157,Cam Davis,54.99%,237,431
165,0,60067,Joe Highsmith,54.95%,311,566
166,0,29936,Ryan Fox,54.77%,247,451
167,0,54304,Karl Vilips,54.72%,197,360
168,0,66743,Luke Clanton,54.40%,167,307
169,0,46601,Trey Mullinax,54.33%,207,381
170,0,57362,Austin Eckroat,54.32%,264,486
171,0,48153,Matthieu Pavon,54.12%,276,510
172,0,23320,Ryan Palmer,53.79%,206,383
173,0,50474,Tim Widing,53.74%,151,281
174,0,63343,Aldrich Potgieter,53.56%,188,351
175,0,32070,Rafael Campos,53.32%,281,527
176,0,39859,Cristobal Del Solar,53.21%,232,436
177,0,46646,Antoine Rozner,53.07%,216,407
178,0,52686,Rasmus Højgaard,52.91%,209,395
179,0,40006,Erik van Rooyen,51.97%,211,406
180,0,35706,Niklas Norgaard,50.64%,159,314
