RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.743,197.507,169.995,27.512,72
2,0,30911,Tommy Fleetwood,1.629,107.535,80.841,26.693,66
3,0,28237,Rory McIlroy,1.543,77.145,47.301,29.844,50
4,0,34098,Russell Henley,1.317,86.917,72.390,14.526,66
5,0,54591,Ben Griffin,1.223,116.139,77.492,38.646,95
6,0,57975,Harry Hall,1.178,98.969,24.991,73.979,84
7,0,39324,J.J. Spaun,1.158,88.006,79.430,8.575,76
8,0,49960,Sepp Straka,1.072,72.908,56.793,16.112,68
9,0,35450,Patrick Cantlay,1.057,69.732,59.489,10.245,66
10,0,33448,Justin Thomas,1.001,70.091,46.318,23.772,70
11,0,47504,Sam Burns,0.997,83.733,1.151,82.585,84
12,0,33141,Keegan Bradley,0.981,71.603,75.669,-4.067,73
13,0,34046,Jordan Spieth,0.899,53.952,44.819,9.133,60
14,0,52215,Robert MacIntyre,0.894,69.767,50.194,19.573,78
15,0,50525,Collin Morikawa,0.892,58.843,79.526,-20.684,66
16,0,46717,Viktor Hovland,0.844,48.102,52.070,-3.970,57
17,0,46414,Aaron Rai,0.808,50.901,59.324,-8.426,63
18,0,57366,Cameron Young,0.802,64.994,12.977,52.018,81
19,0,46442,Maverick McNealy,0.784,65.105,33.490,31.613,83
20,0,46340,Alex Smalley,0.780,50.718,42.867,7.852,65
21,0,33204,Shane Lowry,0.769,46.894,54.411,-7.516,61
22,0,48117,Kurt Kitayama,0.764,48.140,65.489,-17.347,63
23,0,32839,Hideki Matsuyama,0.755,55.103,57.722,-2.618,73
24,0,33968,Thorbjørn Olesen,0.741,45.924,27.945,17.981,62
25,0,45242,Kevin Yu,0.739,54.719,59.764,-5.044,74
26,0,34021,Bud Cauley,0.724,46.327,38.438,7.889,64
27,0,52453,Nicolai Højgaard,0.715,30.018,22.024,7.992,42
28,0,37455,Si Woo Kim,0.689,59.294,93.218,-33.922,86
29,0,39997,Corey Conners,0.683,49.869,40.143,9.728,73
30,0,40250,Taylor Pendrith,0.664,51.092,48.915,2.177,77
31,0,25493,Nick Taylor,0.654,47.077,37.837,9.240,72
32,0,40098,Matt Fitzpatrick,0.647,42.701,21.189,21.510,66
33,0,56630,Akshay Bhatia,0.638,50.404,28.501,21.905,79
34,0,54628,Lee Hodges,0.617,35.184,33.741,1.445,57
34,0,47420,Jake Knapp,0.617,45.629,11.912,33.717,74
36,0,34099,Harris English,0.616,44.964,13.527,31.438,73
36,0,47993,Denny McCarthy,0.616,48.026,-3.131,51.156,78
38,0,48887,Matt Wallace,0.608,30.393,24.318,6.074,50
39,0,59095,Chris Gotterup,0.585,42.103,41.833,.272,72
40,0,47679,Victor Perez,0.584,40.316,28.003,12.314,69
41,0,39975,Michael Kim,0.563,46.717,46.947,-.233,83
42,0,23108,Matt Kuchar,0.556,30.005,6.275,23.730,54
